competition,under_2_5,over_2_5,total,over_rate,is_atta_mills_competition
Australia A-League,250,393,643,0.6111975116640747,False
Germany Bundesliga,443,682,1125,0.6062222222222222,False
Germany 2. Bundesliga,451,657,1108,0.5929602888086642,False
Netherlands Eredivisie,464,654,1118,0.5849731663685152,True
England Premier League,600,810,1410,0.574468085106383,False
India Indian Super League,152,200,352,0.5681818181818182,False
Switzerland Super League,328,424,752,0.5638297872340425,False
Saudi Arabia Professional League,448,551,999,0.5515515515515516,False
Denmark Superliga,306,371,677,0.5480059084194978,False
Belgium Pro League,495,591,1086,0.5441988950276243,True
Scotland Premiership,383,453,836,0.5418660287081339,True
France Ligue 1,571,671,1242,0.5402576489533011,False
Turkey Süper Lig,452,521,973,0.5354573484069887,False
Austria Bundesliga,319,366,685,0.5343065693430656,False
Portugal Liga NOS,559,566,1125,0.5031111111111111,False
England EFL League One,1036,982,2018,0.48662041625371655,False
Italy Serie A,722,678,1400,0.48428571428571426,False
Poland Ekstraklasa,481,437,918,0.4760348583877996,False
Spain La Liga,736,658,1394,0.4720229555236729,False
England EFL League Two,1075,952,2027,0.46965959546127284,False
England Championship,1071,933,2004,0.4655688622754491,False
France Ligue 2,708,588,1296,0.4537037037037037,False
Italy Serie B,626,514,1140,0.45087719298245615,False
Spain Segunda División,987,685,1672,0.409688995215311,False
