competition,clean_auc,less_restricted_auc,delta_auc,clean_matches,less_restricted_matches
Austria Bundesliga,0.5382428011031741,0.5199907497815921,-0.01825205132158203,685,685
Saudi Arabia Professional League,0.5715116184858698,0.5547199086077261,-0.016791709878143712,999,999
Switzerland Super League,0.5433804072710539,0.5321488150023009,-0.011231592268752921,752,752
Australia A-League,0.5373435114503817,0.5273282442748092,-0.01001526717557255,643,643
Denmark Superliga,0.5167362542501277,0.5090992371791484,-0.007637017070979302,677,677
England EFL League Two,0.5561207738909517,0.5511784248583154,-0.004942349032636351,2027,2027
England EFL League One,0.5468864267234939,0.543178762119699,-0.0037076646037949024,2018,2018
England Premier League,0.5644320987654321,0.5608333333333333,-0.003598765432098805,1410,1410
Germany Bundesliga,0.5862289243560634,0.5827237642572967,-0.0035051600987667797,1125,1125
Germany 2. Bundesliga,0.5274900694212422,0.5240915671921351,-0.003398502229107092,1108,1108
Belgium Pro League,0.5640858671315524,0.5614999401801433,-0.0025859269514091343,1086,1086
Spain Segunda División,0.5596772642897818,0.5571110568781015,-0.0025662074116803435,1672,1672
England Championship,0.5370945805975123,0.5354303207528098,-0.0016642598447024204,2004,2004
India Indian Super League,0.46371710526315785,0.4627672180878798,-0.0009498871752780524,352,508
Portugal Liga NOS,0.5880421246926301,0.5879030575801059,-0.0001390671125242049,1125,1125
Italy Serie B,0.5254518839895078,0.5255499122496946,9.802826018678878e-05,1140,1400
Netherlands Eredivisie,0.5742150427080038,0.5752234261309712,0.001008383422967385,1118,1118
France Ligue 1,0.5672037187354003,0.5684513012180894,0.0012475824826890802,1242,1242
Turkey Süper Lig,0.5560528595451225,0.5573315893353586,0.0012787297902361328,973,1315
Scotland Premiership,0.5944068841895342,0.5967988288116934,0.0023919446221591922,836,836
Spain La Liga,0.577930900621118,0.5807205629707943,0.0027896623496763695,1394,1394
Italy Serie A,0.5743142205770598,0.5810188022454832,0.0067045816684233595,1400,1400
Poland Ekstraklasa,0.5284471234127985,0.5358542306802788,0.007407107267480284,918,1101
France Ligue 2,0.5290016430300934,0.5393390407010261,0.010337397670932669,1296,1296
