competition,matches,under_rate,over_rate,auc,accuracy,brier,highlighted_in_trend,excluded_from_trend
Scotland Premiership,836,0.458133971291866,0.541866028708134,0.5938939129332157,0.5657894736842105,0.24142326033099376,True,False
Italy Serie A,1400,0.5157142857142857,0.4842857142857143,0.5921890193578964,0.5664285714285714,0.2438871525886094,True,False
Germany Bundesliga,1125,0.3937777777777778,0.6062222222222222,0.5915809960082878,0.6044444444444445,0.23391329079693043,True,False
Spain La Liga,1394,0.5279770444763271,0.4720229555236729,0.5864898572750099,0.5710186513629842,0.24322921896362046,True,False
Netherlands Eredivisie,1118,0.4150268336314848,0.5849731663685152,0.5810364599810187,0.590339892665474,0.23928416537023023,True,False
Belgium Pro League,1086,0.4558011049723757,0.5441988950276243,0.5794134235758601,0.574585635359116,0.2439555747907412,True,False
Portugal Liga NOS,1125,0.4968888888888889,0.5031111111111111,0.5785065456361372,0.5537777777777778,0.24512898571964212,False,False
France Ligue 1,1242,0.45974235104669886,0.5402576489533011,0.5726351395439276,0.5523349436392915,0.24537021094742104,False,False
England Premier League,1410,0.425531914893617,0.574468085106383,0.5669917695473251,0.5581560283687943,0.24284434260098997,False,False
Saudi Arabia Professional League,999,0.44844844844844844,0.5515515515515516,0.564728091781177,0.5385385385385385,0.2449760892450281,False,False
Turkey Süper Lig,973,0.4645426515930113,0.5354573484069887,0.5590465918162825,0.5354573484069887,0.24593353466123227,False,False
England EFL League Two,2027,0.5303404045387272,0.4696595954612728,0.5588176666015243,0.5515540207202763,0.2467392364394453,False,False
Spain Segunda División,1672,0.590311004784689,0.409688995215311,0.5526545825660595,0.5825358851674641,0.24078770928643953,False,False
England EFL League One,2018,0.5133795837462835,0.48662041625371655,0.5477582980128805,0.5401387512388504,0.24913832803414623,False,False
Germany 2. Bundesliga,1108,0.40703971119133575,0.5929602888086642,0.5412460724856315,0.5703971119133574,0.2425275476553349,False,False
England Championship,2004,0.5344311377245509,0.46556886227544914,0.5378711684745352,0.529441117764471,0.24899119828650457,False,False
Poland Ekstraklasa,918,0.5239651416122004,0.4760348583877996,0.5344177129074155,0.5196078431372549,0.250136440750082,False,False
Denmark Superliga,677,0.4519940915805022,0.5480059084194978,0.5332699117382802,0.5406203840472673,0.2499721270080052,False,False
France Ligue 2,1296,0.5462962962962963,0.4537037037037037,0.5329290614550906,0.5416666666666666,0.24834660162085864,False,False
Austria Bundesliga,685,0.4656934306569343,0.5343065693430658,0.5326755400243246,0.5474452554744526,0.2512004227135131,False,False
Switzerland Super League,752,0.43617021276595747,0.5638297872340425,0.528869937873907,0.5465425531914894,0.24773513285797422,False,False
Australia A-League,643,0.38880248833592534,0.6111975116640747,0.5269618320610687,0.5987558320373251,0.24144290435272214,False,False
Italy Serie B,1140,0.5491228070175439,0.4508771929824561,0.5265753782275208,0.5421052631578948,0.24904447292348036,True,False
India Indian Super League,352,0.4318181818181818,0.5681818181818181,0.47921052631578953,0.5085227272727273,0.2512017679357909,False,True
