absolute_gap,bin_index,lower_bound,mean_probability,model_name,observed_positive_rate,prediction_count,upper_bound
0.22672143951058388,0,0.0,0.08362338807562301,v2-benchmark,0.3103448275862069,29,0.1
0.23381047447522482,1,0.1,0.16166975151347576,v2-benchmark,0.3954802259887006,531,0.2
0.15796216248277245,2,0.2,0.2558555013348914,v2-benchmark,0.41381766381766383,1404,0.3
0.07639828578481134,3,0.3,0.3556771859133019,v2-benchmark,0.4320754716981132,2650,0.4
0.006241819412409644,4,0.4,0.4736882272231666,v2-benchmark,0.47993004663557626,12008,0.5
0.02693110813030486,5,0.5,0.543035304203704,v2-benchmark,0.5161041960733992,7793,0.6
0.105048768222332,6,0.6,0.6386308577745708,v2-benchmark,0.5335820895522388,3216,0.7
0.1535516936773017,7,0.7,0.7278589984631959,v2-benchmark,0.5743073047858942,397,0.8
0.8235153555870056,8,0.8,0.8235153555870056,v2-benchmark,0.0,1,0.9
,9,0.9,,v2-benchmark,,0,1.0
,0,0.0,,training-prevalence,,0,0.1
,1,0.1,,training-prevalence,,0,0.2
,2,0.2,,training-prevalence,,0,0.3
,3,0.3,,training-prevalence,,0,0.4
0.002222116466081725,4,0.4,0.4784024943496485,training-prevalence,0.4806246108157302,20877,0.5
0.013026529139558929,5,0.5,0.5219750750008565,training-prevalence,0.5089485458612976,7152,0.6
,6,0.6,,training-prevalence,,0,0.7
,7,0.7,,training-prevalence,,0,0.8
,8,0.8,,training-prevalence,,0,0.9
,9,0.9,,training-prevalence,,0,1.0
0.4806246108157302,0,0.0,0.0,training-majority,0.4806246108157302,20877,0.1
,1,0.1,,training-majority,,0,0.2
,2,0.2,,training-majority,,0,0.3
,3,0.3,,training-majority,,0,0.4
,4,0.4,,training-majority,,0,0.5
,5,0.5,,training-majority,,0,0.6
,6,0.6,,training-majority,,0,0.7
,7,0.7,,training-majority,,0,0.8
,8,0.8,,training-majority,,0,0.9
0.49105145413870244,9,0.9,1.0,training-majority,0.5089485458612976,7152,1.0
0.36675075887276204,0,0.0,0.07769368557168237,logistic-regression,0.4444444444444444,18,0.1
0.17585935669325745,1,0.1,0.16946438431393682,logistic-regression,0.34532374100719426,278,0.2
0.12759460436988812,2,0.2,0.2616081577142299,logistic-regression,0.389202762084118,1593,0.3
0.07153381636414069,3,0.3,0.35706765577045446,logistic-regression,0.42860147213459515,4755,0.4
0.022641092909376104,4,0.4,0.4517757618686525,logistic-regression,0.4744168547780286,7974,0.5
0.03316527390406454,5,0.5,0.547493521019807,logistic-regression,0.5143282471157424,8061,0.6
0.09003859192818686,6,0.6,0.6413356239450132,logistic-regression,0.5512970320168263,4279,0.7
0.14522518998910972,7,0.7,0.7329630335409067,logistic-regression,0.587737843551797,946,0.8
0.23825468917280757,8,0.8,0.8324575877235322,logistic-regression,0.5942028985507246,69,0.9
0.4854129050763047,9,0.9,0.9675557622191618,logistic-regression,0.48214285714285715,56,1.0
