competition,season,n_missing,n_total,missing_pct
Australia A-League,2021,188,64668,0.2907156553473124
Australia A-League,2022,2964,80444,3.6845507433742726
Australia A-League,2023,408,95064,0.4291845493562232
Australia A-League,2024,200,94282,0.21212956874058675
Austria Bundesliga,2021,67,71944,0.0931279884354498
Austria Bundesliga,2022,2230,92004,2.4238076605364984
Austria Bundesliga,2023,675,107100,0.6302521008403361
Austria Bundesliga,2024,582,101456,0.5736476896388583
Belgium Pro League,2021,630,109140,0.577240241891149
Belgium Pro League,2022,3521,128656,2.736755378684243
Belgium Pro League,2023,789,141508,0.5575656499985866
Belgium Pro League,2024,1077,130016,0.8283595865124292
Denmark Superliga,2021,548,75174,0.7289754436374278
Denmark Superliga,2022,3616,91596,3.947770645006332
Denmark Superliga,2023,728,104788,0.6947360384776883
Denmark Superliga,2024,619,95642,0.6472052027352
England Championship,2021,175,157522,0.11109559299653382
England Championship,2022,4123,175338,2.3514583262042454
England Championship,2023,695,183906,0.3779104542538036
England Championship,2024,2191,175950,1.2452401250355214
England EFL League One,2021,440,140760,0.312588803637397
England EFL League One,2022,6030,160140,3.765455226676658
England EFL League One,2023,779,180370,0.4318900038809115
England EFL League One,2024,1736,174862,0.9927828802141117
England EFL League Two,2021,455,138686,0.32807925818034983
England EFL League Two,2022,4800,186150,2.5785656728444803
England EFL League Two,2023,340,228412,0.14885382554331647
England EFL League Two,2024,1113,212228,0.5244359839417985
England Premier League,2021,633,138992,0.45542189478531137
England Premier League,2022,6066,151810,3.9957842039391345
England Premier League,2023,1086,154020,0.7051032333463186
England Premier League,2024,1287,137802,0.9339487090172857
France Ligue 1,2021,702,125358,0.5599961709663523
France Ligue 1,2022,5678,133620,4.249363867684479
France Ligue 1,2023,696,134470,0.5175875659998512
France Ligue 1,2024,942,125698,0.7494152651593502
France Ligue 2,2021,206,119680,0.17212566844919786
France Ligue 2,2022,4869,151028,3.2239055009667084
France Ligue 2,2023,579,180676,0.3204631495051916
France Ligue 2,2024,438,160854,0.27229661680778844
Germany 2. Bundesliga,2021,304,109752,0.27698811866754136
Germany 2. Bundesliga,2022,4084,128554,3.1768750875118625
Germany 2. Bundesliga,2023,346,141474,0.24456790647044688
Germany 2. Bundesliga,2024,377,139570,0.27011535430250055
Germany Bundesliga,2021,275,114818,0.23950948457558918
Germany Bundesliga,2022,4214,124168,3.3937890599832485
Germany Bundesliga,2023,440,130186,0.3379779699814112
Germany Bundesliga,2024,502,123114,0.40775216466039604
India Indian Super League,2021,22,51204,0.0429653933286462
India Indian Super League,2022,1998,79526,2.5123858863767823
India Indian Super League,2023,129,101252,0.12740489076758976
India Indian Super League,2024,43,105298,0.04083648312408593
Italy Serie A,2021,506,127976,0.3953866349940614
Italy Serie A,2022,5591,133994,4.172574891413048
Italy Serie A,2023,1172,139434,0.840541044508513
Italy Serie A,2024,1236,133892,0.9231320765990499
Italy Serie B,2021,220,37808,0.5818874312314855
Italy Serie B,2022,2565,112710,2.2757519297311686
Italy Serie B,2023,638,158576,0.402330743618202
Italy Serie B,2024,776,159188,0.4874739301957434
Netherlands Eredivisie,2021,120,114614,0.1046992514003525
Netherlands Eredivisie,2022,4001,144194,2.774734038864308
Netherlands Eredivisie,2023,663,164628,0.40272614622057
Netherlands Eredivisie,2024,438,154088,0.2842531540418462
Poland Ekstraklasa,2021,329,109514,0.3004182113702358
Poland Ekstraklasa,2022,2472,149634,1.652030955531497
Poland Ekstraklasa,2023,405,181934,0.22260819857750613
Poland Ekstraklasa,2024,750,164118,0.4569882645413666
Portugal Liga NOS,2021,205,114920,0.17838496345283675
Portugal Liga NOS,2022,3957,147730,2.6785351655046368
Portugal Liga NOS,2023,577,172448,0.3345936166264613
Portugal Liga NOS,2024,1416,158134,0.8954431052145648
Saudi Arabia Professional League,2021,187,102476,0.18248175182481752
Saudi Arabia Professional League,2022,2610,132872,1.9642964657715696
Saudi Arabia Professional League,2023,424,163030,0.26007483285284916
Saudi Arabia Professional League,2024,453,151028,0.2999443811743518
Scotland Premiership,2021,540,69802,0.7736168018108364
Scotland Premiership,2022,2393,84184,2.8425829136177896
Scotland Premiership,2023,197,94146,0.20924946359909077
Scotland Premiership,2024,626,90678,0.6903548821103245
Spain La Liga,2021,258,137666,0.18741010852352796
Spain La Liga,2022,8216,148818,5.520837533094115
Spain La Liga,2023,731,158474,0.46127440463419866
Spain La Liga,2024,1106,149328,0.7406514518375656
Spain Segunda División,2021,629,140964,0.4462132175590931
Spain Segunda División,2022,7960,182376,4.364609378426986
Spain Segunda División,2023,1725,213384,0.8084017545832864
Spain Segunda División,2024,2818,199138,1.4150990770219647
Switzerland Super League,2021,314,59092,0.5313748053882082
Switzerland Super League,2022,1726,75548,2.284640228728755
Switzerland Super League,2023,590,96118,0.6138288353898333
Switzerland Super League,2024,624,97376,0.6408149852119619
Turkey Süper Lig,2021,224,119578,0.1873254277542692
Turkey Süper Lig,2022,2851,147152,1.9374524301402631
Turkey Süper Lig,2023,706,182716,0.38639199632216115
Turkey Süper Lig,2024,985,164152,0.6000536088503339
