competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Australia A-League,2021,0,3912,0.0,29,0.7413087934560327,0.0
Australia A-League,2022,0,3912,0.0,33,0.843558282208589,0.0
Australia A-League,2023,10,4056,0.2465483234714004,29,0.7149901380670611,0.2465483234714004
Australia A-League,2024,0,4224,0.0,31,0.7339015151515151,0.0
Austria Bundesliga,2021,0,4680,0.0,33,0.7051282051282052,0.0
Austria Bundesliga,2022,0,4680,0.0,24,0.5128205128205128,0.0
Austria Bundesliga,2023,0,4680,0.0,24,0.5128205128205128,0.0
Austria Bundesliga,2024,18,4680,0.38461538461538464,65,1.3888888888888888,0.38461538461538464
Belgium Pro League,2021,16,7920,0.20202020202020202,49,0.6186868686868687,0.20202020202020202
Belgium Pro League,2022,0,7920,0.0,48,0.6060606060606061,0.0
Belgium Pro League,2023,16,7512,0.21299254526091588,40,0.5324813631522897,0.21299254526091588
Belgium Pro League,2024,12,7512,0.1597444089456869,85,1.1315228966986155,0.1597444089456869
Denmark Superliga,2021,0,4632,0.0,27,0.582901554404145,0.0
Denmark Superliga,2022,4,4632,0.08635578583765112,36,0.7772020725388601,0.08635578583765112
Denmark Superliga,2023,0,4632,0.0,28,0.6044905008635578,0.0
Denmark Superliga,2024,0,4632,0.0,25,0.5397236614853195,0.0
England Championship,2021,0,13368,0.0,49,0.36654697785757034,0.0
England Championship,2022,32,13368,0.23937761819269898,55,0.4114302812687014,0.23937761819269898
England Championship,2023,0,13368,0.0,48,0.3590664272890485,0.0
England Championship,2024,26,13368,0.19449431478156792,176,1.3165769000598444,0.19449431478156792
England EFL League One,2021,0,13368,0.0,50,0.37402752842609216,0.0
England EFL League One,2022,6,13368,0.04488330341113106,60,0.4488330341113106,0.04488330341113106
England EFL League One,2023,0,13368,0.0,48,0.3590664272890485,0.0
England EFL League One,2024,26,13368,0.19449431478156792,90,0.6732495511669659,0.19449431478156792
England EFL League Two,2021,0,13368,0.0,52,0.38898862956313585,0.0
England EFL League Two,2022,4,13368,0.029922202274087373,55,0.4114302812687014,0.029922202274087373
England EFL League Two,2023,0,13368,0.0,53,0.3964691801316577,0.0
England EFL League Two,2024,84,13368,0.6283662477558348,122,0.9126271693596649,0.6283662477558348
England Premier League,2021,0,9120,0.0,42,0.4605263157894737,0.0
England Premier League,2022,0,9120,0.0,46,0.5043859649122807,0.0
England Premier League,2023,0,9120,0.0,40,0.43859649122807015,0.0
England Premier League,2024,0,9120,0.0,61,0.668859649122807,0.0
France Ligue 1,2021,0,9120,0.0,45,0.4934210526315789,0.0
France Ligue 1,2022,0,9120,0.0,55,0.6030701754385965,0.0
France Ligue 1,2023,0,7344,0.0,36,0.49019607843137253,0.0
France Ligue 1,2024,0,7344,0.0,102,1.3888888888888888,0.0
France Ligue 2,2021,0,9168,0.0,49,0.5344677137870855,0.0
France Ligue 2,2022,0,9120,0.0,45,0.4934210526315789,0.0
France Ligue 2,2023,0,9168,0.0,40,0.4363001745200698,0.0
France Ligue 2,2024,56,7392,0.7575757575757576,136,1.8398268398268398,0.7575757575757576
Germany 2. Bundesliga,2021,0,7344,0.0,39,0.5310457516339869,0.0
Germany 2. Bundesliga,2022,0,7344,0.0,42,0.5718954248366013,0.0
Germany 2. Bundesliga,2023,0,7344,0.0,40,0.5446623093681917,0.0
Germany 2. Bundesliga,2024,36,7344,0.49019607843137253,110,1.4978213507625273,0.49019607843137253
Germany Bundesliga,2021,0,7344,0.0,41,0.5582788671023965,0.0
Germany Bundesliga,2022,0,7344,0.0,38,0.5174291938997821,0.0
Germany Bundesliga,2023,0,7344,0.0,36,0.49019607843137253,0.0
Germany Bundesliga,2024,0,7344,0.0,82,1.116557734204793,0.0
India Indian Super League,2021,6,2760,0.21739130434782608,33,1.1956521739130435,0.21739130434782608
India Indian Super League,2022,0,2808,0.0,33,1.1752136752136753,0.0
India Indian Super League,2023,10,3336,0.2997601918465228,28,0.8393285371702638,0.2997601918465228
Italy Serie A,2021,0,9120,0.0,49,0.5372807017543859,0.0
Italy Serie A,2022,0,9144,0.0,56,0.6124234470691163,0.0
Italy Serie A,2023,0,9120,0.0,40,0.43859649122807015,0.0
Italy Serie A,2024,0,9120,0.0,97,1.0635964912280702,0.0
Italy Serie B,2022,0,9360,0.0,97,1.0363247863247864,0.0
Italy Serie B,2023,0,9360,0.0,40,0.42735042735042733,0.0
Italy Serie B,2024,12,9360,0.1282051282051282,135,1.4423076923076923,0.1282051282051282
Netherlands Eredivisie,2021,0,7488,0.0,46,0.6143162393162394,0.0
Netherlands Eredivisie,2022,0,7488,0.0,42,0.5608974358974359,0.0
Netherlands Eredivisie,2023,0,7416,0.0,37,0.4989212513484358,0.0
Netherlands Eredivisie,2024,12,7416,0.16181229773462782,90,1.2135922330097086,0.16181229773462782
Poland Ekstraklasa,2022,0,7344,0.0,47,0.6399782135076253,0.0
Poland Ekstraklasa,2023,0,7344,0.0,48,0.6535947712418301,0.0
Poland Ekstraklasa,2024,0,7344,0.0,43,0.585511982570806,0.0
Portugal Liga NOS,2021,0,7344,0.0,41,0.5582788671023965,0.0
Portugal Liga NOS,2022,0,7344,0.0,46,0.6263616557734205,0.0
Portugal Liga NOS,2023,0,7344,0.0,36,0.49019607843137253,0.0
Portugal Liga NOS,2024,0,7344,0.0,97,1.3208061002178648,0.0
Saudi Arabia Professional League,2021,32,5760,0.5555555555555556,88,1.5277777777777777,0.5555555555555556
Saudi Arabia Professional League,2022,0,5760,0.0,65,1.1284722222222223,0.0
Saudi Arabia Professional League,2023,0,7344,0.0,36,0.49019607843137253,0.0
Saudi Arabia Professional League,2024,44,7344,0.599128540305011,72,0.9803921568627451,0.599128540305011
Scotland Premiership,2021,6,5472,0.10964912280701754,29,0.5299707602339181,0.10964912280701754
Scotland Premiership,2022,10,5472,0.1827485380116959,28,0.5116959064327485,0.1827485380116959
Scotland Premiership,2023,14,5472,0.25584795321637427,30,0.5482456140350878,0.25584795321637427
Scotland Premiership,2024,54,5472,0.9868421052631579,57,1.0416666666666667,0.9868421052631579
