competition,season,n_missing,n_total,missing_pct
Australia A-League,2021,0,64668,0.0
Australia A-League,2022,90,80444,0.11187907115508926
Australia A-League,2023,234,95064,0.24614996213077506
Australia A-League,2024,140,94282,0.14849069811841073
Austria Bundesliga,2021,0,71944,0.0
Austria Bundesliga,2022,135,92004,0.1467327507499674
Austria Bundesliga,2023,49,107100,0.0457516339869281
Austria Bundesliga,2024,30,101456,0.029569468538085477
Belgium Pro League,2021,0,109140,0.0
Belgium Pro League,2022,422,128656,0.32800646685735607
Belgium Pro League,2023,466,141508,0.3293100036747039
Belgium Pro League,2024,162,130016,0.12460004922471081
Denmark Superliga,2021,102,75174,0.13568521031207598
Denmark Superliga,2022,444,91596,0.4847373247740076
Denmark Superliga,2023,418,104788,0.39890063747757376
Denmark Superliga,2024,186,95642,0.1944752305472491
England Championship,2021,9,157522,0.00571348763982174
England Championship,2022,147,175338,0.08383807275091537
England Championship,2023,136,183906,0.07395082270290257
England Championship,2024,95,175950,0.05399261153736857
England EFL League One,2021,0,140760,0.0
England EFL League One,2022,345,160140,0.215436493068565
England EFL League One,2023,281,180370,0.15579087431391028
England EFL League One,2024,188,174862,0.10751335338724251
England EFL League Two,2021,4,138686,0.0028842132587283504
England EFL League Two,2022,192,186150,0.1031426269137792
England EFL League Two,2023,204,228412,0.08931229532598987
England EFL League Two,2024,128,212228,0.060312494110108
England Premier League,2021,2,138992,0.001438931737078393
England Premier League,2022,269,151810,0.1771951781832554
England Premier League,2023,137,154020,0.08894948707960006
England Premier League,2024,67,137802,0.04862048446321534
France Ligue 1,2021,9,125358,0.00717943808931221
France Ligue 1,2022,461,133620,0.34500823230055383
France Ligue 1,2023,372,134470,0.2766416301033688
France Ligue 1,2024,243,125698,0.1933204983372846
France Ligue 2,2021,0,119680,0.0
France Ligue 2,2022,426,151028,0.28206690150170827
France Ligue 2,2023,403,180676,0.22305120768668776
France Ligue 2,2024,264,160854,0.16412398821291357
Germany 2. Bundesliga,2021,0,109752,0.0
Germany 2. Bundesliga,2022,129,128554,0.10034693591798
Germany 2. Bundesliga,2023,118,141474,0.08340755191766686
Germany 2. Bundesliga,2024,88,139570,0.0630507988822813
Germany Bundesliga,2021,0,114818,0.0
Germany Bundesliga,2022,45,124168,0.03624122157077508
Germany Bundesliga,2023,36,130186,0.0276527429984791
Germany Bundesliga,2024,18,123114,0.014620595545591891
India Indian Super League,2021,0,51204,0.0
India Indian Super League,2022,139,79526,0.17478560470789428
India Indian Super League,2023,102,101252,0.10073875083948959
India Indian Super League,2024,36,105298,0.034188683545746355
Italy Serie A,2021,0,127976,0.0
Italy Serie A,2022,355,133994,0.2649372359956416
Italy Serie A,2023,506,139434,0.36289570692944334
Italy Serie A,2024,272,133892,0.2031488065007618
Italy Serie B,2021,0,37808,0.0
Italy Serie B,2022,128,112710,0.11356578830627273
Italy Serie B,2023,180,158576,0.11351024114620119
Italy Serie B,2024,240,159188,0.15076513305022993
Netherlands Eredivisie,2021,0,114614,0.0
Netherlands Eredivisie,2022,226,144194,0.15673328987336504
Netherlands Eredivisie,2023,159,164628,0.09658138348276113
Netherlands Eredivisie,2024,60,154088,0.03893878822491044
Poland Ekstraklasa,2021,0,109514,0.0
Poland Ekstraklasa,2022,118,149634,0.07885908282876886
Poland Ekstraklasa,2023,186,181934,0.10223487638374355
Poland Ekstraklasa,2024,117,164118,0.07129016926845319
Portugal Liga NOS,2021,0,114920,0.0
Portugal Liga NOS,2022,377,147730,0.2551952887023624
Portugal Liga NOS,2023,360,172448,0.20875858229727223
Portugal Liga NOS,2024,295,158134,0.18655064691970102
Saudi Arabia Professional League,2021,3,102476,0.0029275147351575004
Saudi Arabia Professional League,2022,199,132872,0.14976819796495874
Saudi Arabia Professional League,2023,213,163030,0.13065080046617186
Saudi Arabia Professional League,2024,127,151028,0.08409036734910083
Scotland Premiership,2021,19,69802,0.027219850434084984
Scotland Premiership,2022,38,84184,0.04513921885393899
Scotland Premiership,2023,46,94146,0.04886028084039683
Scotland Premiership,2024,12,90678,0.013233639912657977
Spain La Liga,2021,0,137666,0.0
Spain La Liga,2022,424,148818,0.2849117714254996
Spain La Liga,2023,276,158474,0.17416106112043617
Spain La Liga,2024,135,149328,0.09040501446480231
Spain Segunda División,2021,9,140964,0.006384608836298629
Spain Segunda División,2022,846,182376,0.4638768258981445
Spain Segunda División,2023,848,213384,0.39740561616616055
Spain Segunda División,2024,424,199138,0.2129176751800259
Switzerland Super League,2021,0,59092,0.0
Switzerland Super League,2022,260,75548,0.34415206226505
Switzerland Super League,2023,264,96118,0.2746623941405356
Switzerland Super League,2024,152,97376,0.15609595793624712
Turkey Süper Lig,2021,3,119578,0.002508822693137534
Turkey Süper Lig,2022,246,147152,0.16717407850385996
Turkey Süper Lig,2023,408,182716,0.22329735764793449
Turkey Süper Lig,2024,267,164152,0.16265412544470978
