competition,season,fs_n_teams,sofifa_n_teams,team_gap,sofifa_league_id,season_start_date,sofifa_snapshot_date,snapshot_gap_days
Australia A-League,2021,12,12,0,351,2021-11-19,2021-11-01,18
Australia A-League,2022,12,12,0,351,2022-10-07,2022-11-01,25
Australia A-League,2023,12,12,0,351,2023-10-20,2023-11-01,12
Australia A-League,2024,13,13,0,351,2024-10-18,2024-11-01,14
Austria Bundesliga,2021,12,12,0,80,2021-07-23,2021-07-01,22
Austria Bundesliga,2022,12,13,-1,80,2022-07-22,2022-07-01,21
Austria Bundesliga,2023,12,14,-2,80,2023-07-28,2023-07-01,27
Austria Bundesliga,2024,12,15,-3,80,2024-08-02,2024-09-01,30
Belgium Pro League,2021,18,18,0,4,2021-07-23,2021-07-01,22
Belgium Pro League,2022,18,20,-2,4,2022-07-22,2022-07-01,21
Belgium Pro League,2023,16,20,-4,4,2023-07-28,2023-07-01,27
Belgium Pro League,2024,16,21,-5,4,2024-07-26,2024-07-01,25
Denmark Superliga,2021,12,12,0,1,2021-07-16,2021-07-01,15
Denmark Superliga,2022,12,14,-2,1,2022-07-15,2022-07-01,14
Denmark Superliga,2023,12,14,-2,1,2023-07-21,2023-07-01,20
Denmark Superliga,2024,12,15,-3,1,2024-07-19,2024-07-01,18
England Championship,2021,24,29,-5,14,2021-08-06,2021-09-01,26
England Championship,2022,24,27,-3,14,2022-07-29,2022-07-01,28
England Championship,2023,24,33,-9,14,2023-08-04,2023-09-01,28
England Championship,2024,24,38,-14,14,2024-08-09,2024-09-01,23
England EFL League One,2021,24,30,-6,60,2021-08-07,2021-09-01,25
England EFL League One,2022,24,27,-3,60,2022-07-30,2022-07-01,29
England EFL League One,2023,24,35,-11,60,2023-08-05,2023-09-01,27
England EFL League One,2024,24,43,-19,60,2024-08-09,2024-09-01,23
England EFL League Two,2021,24,30,-6,61,2021-08-07,2021-09-01,25
England EFL League Two,2022,24,27,-3,61,2022-07-30,2022-07-01,29
England EFL League Two,2023,24,36,-12,61,2023-08-05,2023-09-01,27
England EFL League Two,2024,24,39,-15,61,2024-08-09,2024-09-01,23
England Premier League,2021,20,22,-2,13,2021-08-13,2021-09-01,19
England Premier League,2022,20,23,-3,13,2022-08-05,2022-09-01,27
England Premier League,2023,20,24,-4,13,2023-08-11,2023-09-01,21
England Premier League,2024,20,25,-5,13,2024-08-16,2024-09-01,16
France Ligue 1,2021,20,22,-2,16,2021-08-06,2021-09-01,26
France Ligue 1,2022,20,24,-4,16,2022-08-05,2022-09-01,27
France Ligue 1,2023,18,24,-6,16,2023-08-11,2023-09-01,21
France Ligue 1,2024,18,24,-6,16,2024-08-16,2024-09-01,16
France Ligue 2,2021,20,20,0,17,2021-07-24,2021-07-01,23
France Ligue 2,2022,20,24,-4,17,2022-07-30,2022-07-01,29
France Ligue 2,2023,20,30,-10,17,2023-08-05,2023-09-01,27
France Ligue 2,2024,18,32,-14,17,2024-08-16,2024-09-01,16
Germany 2. Bundesliga,2021,18,18,0,20,2021-07-23,2021-07-01,22
