competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Australia A-League,2021,29,4238,0.684285040113261,29,0.684285040113261,0.684285040113261
Australia A-League,2022,33,4238,0.7786691835771591,33,0.7786691835771591,0.7786691835771591
Australia A-League,2023,41,4394,0.9330905780609923,29,0.6599908966772872,0.9330905780609923
Australia A-League,2024,47,4576,1.027097902097902,31,0.6774475524475524,1.027097902097902
Austria Bundesliga,2021,33,5070,0.650887573964497,33,0.650887573964497,0.650887573964497
Austria Bundesliga,2022,24,5070,0.47337278106508873,24,0.47337278106508873,0.47337278106508873
Austria Bundesliga,2023,24,5070,0.47337278106508873,24,0.47337278106508873,0.47337278106508873
Austria Bundesliga,2024,101,5070,1.9921104536489151,65,1.2820512820512822,1.9921104536489151
Belgium Pro League,2021,67,8580,0.7808857808857809,49,0.5710955710955711,0.7808857808857809
Belgium Pro League,2022,48,8580,0.5594405594405595,48,0.5594405594405595,0.5594405594405595
Belgium Pro League,2023,58,8138,0.7127058245269108,40,0.4915212582944212,0.7127058245269108
Belgium Pro League,2024,117,8138,1.4376996805111821,85,1.0444826738756452,1.4376996805111821
Denmark Superliga,2021,27,5018,0.538062973296134,27,0.538062973296134,0.538062973296134
Denmark Superliga,2022,40,5018,0.7971303308090872,36,0.7174172977281785,0.7971303308090872
Denmark Superliga,2023,28,5018,0.5579912315663611,28,0.5579912315663611,0.5579912315663611
Denmark Superliga,2024,43,5018,0.8569151056197688,25,0.49820645675567954,0.8569151056197688
England Championship,2021,95,14482,0.6559867421626847,49,0.33835105648391106,0.6559867421626847
England Championship,2022,173,14482,1.1945863830962575,55,0.3797817980941859,1.1945863830962575
England Championship,2023,72,14482,0.4971688993232979,48,0.3314459328821986,0.4971688993232979
England Championship,2024,228,14482,1.5743681811904433,176,1.2153017539013948,1.5743681811904433
England EFL League One,2021,84,14482,0.5800303825438475,50,0.34525618008562353,0.5800303825438475
England EFL League One,2022,118,14482,0.8148045850020715,60,0.41430741610274824,0.8148045850020715
England EFL League One,2023,88,14482,0.6076508769506974,48,0.3314459328821986,0.6076508769506974
England EFL League One,2024,152,14482,1.0495787874602955,90,0.6214611241541224,1.0495787874602955
England EFL League Two,2021,102,14482,0.704322607374672,52,0.3590664272890485,0.704322607374672
England EFL League Two,2022,111,14482,0.7664687197900842,55,0.3797817980941859,0.7664687197900842
England EFL League Two,2023,107,14482,0.7388482253832344,53,0.36597155089076094,0.7388482253832344
England EFL League Two,2024,258,14482,1.7815218892418174,122,0.8424250794089214,1.7815218892418174
England Premier League,2021,90,9880,0.9109311740890689,42,0.4251012145748988,0.9109311740890689
England Premier League,2022,70,9880,0.708502024291498,46,0.46558704453441296,0.708502024291498
England Premier League,2023,62,9880,0.6275303643724697,40,0.4048582995951417,0.6275303643724697
England Premier League,2024,95,9880,0.9615384615384616,61,0.6174089068825911,0.9615384615384616
France Ligue 1,2021,45,9880,0.45546558704453444,45,0.45546558704453444,0.45546558704453444
France Ligue 1,2022,55,9880,0.5566801619433198,55,0.5566801619433198,0.5566801619433198
France Ligue 1,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
France Ligue 1,2024,122,7956,1.533433886375063,102,1.2820512820512822,1.533433886375063
France Ligue 2,2021,49,9932,0.49335481272654047,49,0.49335481272654047,0.49335481272654047
France Ligue 2,2022,45,9880,0.45546558704453444,45,0.45546558704453444,0.45546558704453444
France Ligue 2,2023,40,9932,0.4027386226339106,40,0.4027386226339106,0.4027386226339106
France Ligue 2,2024,232,8008,2.897102897102897,136,1.6983016983016983,2.897102897102897
Germany 2. Bundesliga,2021,39,7956,0.49019607843137253,39,0.49019607843137253,0.49019607843137253
Germany 2. Bundesliga,2022,42,7956,0.5279034690799397,42,0.5279034690799397,0.5279034690799397
Germany 2. Bundesliga,2023,40,7956,0.5027652086475616,40,0.5027652086475616,0.5027652086475616
Germany 2. Bundesliga,2024,158,7956,1.9859225741578683,110,1.3826043237807943,1.9859225741578683
Germany Bundesliga,2021,41,7956,0.5153343388637506,41,0.5153343388637506,0.5153343388637506
Germany Bundesliga,2022,38,7956,0.47762694821518353,38,0.47762694821518353,0.47762694821518353
Germany Bundesliga,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Germany Bundesliga,2024,90,7956,1.1312217194570136,82,1.0306686777275011,1.1312217194570136
India Indian Super League,2021,43,2990,1.4381270903010033,33,1.1036789297658862,1.4381270903010033
India Indian Super League,2022,37,3042,1.2163050624589087,33,1.0848126232741617,1.2163050624589087
India Indian Super League,2023,46,3614,1.2728278915329274,28,0.774764803541782,1.2728278915329274
India Indian Super League,2024,224,4238,5.285512033978292,114,2.6899480887210947,5.285512033978292
Italy Serie A,2021,49,9880,0.4959514170040486,49,0.4959514170040486,0.4959514170040486
Italy Serie A,2022,56,9906,0.5653139511407228,56,0.5653139511407228,0.5653139511407228
Italy Serie A,2023,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Italy Serie A,2024,121,9880,1.2246963562753037,97,0.9817813765182186,1.2246963562753037
Italy Serie B,2021,57,10140,0.5621301775147929,57,0.5621301775147929,0.5621301775147929
Italy Serie B,2022,97,10140,0.9566074950690335,97,0.9566074950690335,0.9566074950690335
Italy Serie B,2023,40,10140,0.39447731755424065,40,0.39447731755424065,0.39447731755424065
Italy Serie B,2024,173,10140,1.7061143984220908,135,1.331360946745562,1.7061143984220908
Netherlands Eredivisie,2021,48,8112,0.591715976331361,46,0.5670611439842209,0.591715976331361
Netherlands Eredivisie,2022,42,8112,0.5177514792899408,42,0.5177514792899408,0.5177514792899408
Netherlands Eredivisie,2023,37,8034,0.4605426935524023,37,0.4605426935524023,0.4605426935524023
Netherlands Eredivisie,2024,142,8034,1.7674881752551654,90,1.1202389843166543,1.7674881752551654
Poland Ekstraklasa,2021,48,7956,0.6033182503770739,48,0.6033182503770739,0.6033182503770739
Poland Ekstraklasa,2022,47,7956,0.5907491201608849,47,0.5907491201608849,0.5907491201608849
Poland Ekstraklasa,2023,48,7956,0.6033182503770739,48,0.6033182503770739,0.6033182503770739
Poland Ekstraklasa,2024,67,7956,0.8421317244846657,43,0.5404725992961287,0.8421317244846657
Portugal Liga NOS,2021,41,7956,0.5153343388637506,41,0.5153343388637506,0.5153343388637506
Portugal Liga NOS,2022,46,7956,0.5781799899446959,46,0.5781799899446959,0.5781799899446959
Portugal Liga NOS,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Portugal Liga NOS,2024,109,7956,1.3700351935646053,97,1.219205630970337,1.3700351935646053
Saudi Arabia Professional League,2021,128,6240,2.051282051282051,88,1.4102564102564104,2.051282051282051
Saudi Arabia Professional League,2022,65,6240,1.0416666666666667,65,1.0416666666666667,1.0416666666666667
Saudi Arabia Professional League,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Saudi Arabia Professional League,2024,136,7956,1.7094017094017093,72,0.9049773755656109,1.7094017094017093
Scotland Premiership,2021,43,5928,0.7253711201079622,29,0.4892037786774629,0.7253711201079622
Scotland Premiership,2022,58,5928,0.9784075573549258,28,0.47233468286099867,0.9784075573549258
Scotland Premiership,2023,64,5928,1.0796221322537112,30,0.5060728744939271,1.0796221322537112
Scotland Premiership,2024,149,5928,2.5134952766531713,57,0.9615384615384616,2.5134952766531713
Spain La Liga,2021,42,9880,0.4251012145748988,42,0.4251012145748988,0.4251012145748988
Spain La Liga,2022,43,9880,0.4352226720647773,43,0.4352226720647773,0.4352226720647773
Spain La Liga,2023,46,9880,0.46558704453441296,40,0.4048582995951417,0.46558704453441296
Spain La Liga,2024,90,9880,0.9109311740890689,58,0.5870445344129555,0.9109311740890689
