competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Australia A-League,2021,0,4238,0.0,29,0.684285040113261,0.0
Australia A-League,2022,0,4238,0.0,33,0.7786691835771591,0.0
Australia A-League,2023,12,4394,0.27309968138370505,29,0.6599908966772872,0.27309968138370505
Australia A-League,2024,16,4576,0.34965034965034963,31,0.6774475524475524,0.34965034965034963
Austria Bundesliga,2021,0,5070,0.0,33,0.650887573964497,0.0
Austria Bundesliga,2022,0,5070,0.0,24,0.47337278106508873,0.0
Austria Bundesliga,2023,0,5070,0.0,24,0.47337278106508873,0.0
Austria Bundesliga,2024,36,5070,0.7100591715976331,65,1.2820512820512822,0.7100591715976331
Belgium Pro League,2021,18,8580,0.2097902097902098,49,0.5710955710955711,0.2097902097902098
Belgium Pro League,2022,0,8580,0.0,48,0.5594405594405595,0.0
Belgium Pro League,2023,18,8138,0.22118456623248955,40,0.4915212582944212,0.22118456623248955
Belgium Pro League,2024,32,8138,0.393217006635537,85,1.0444826738756452,0.393217006635537
Denmark Superliga,2021,0,5018,0.0,27,0.538062973296134,0.0
Denmark Superliga,2022,4,5018,0.07971303308090873,36,0.7174172977281785,0.07971303308090873
Denmark Superliga,2023,0,5018,0.0,28,0.5579912315663611,0.0
Denmark Superliga,2024,18,5018,0.35870864886408926,25,0.49820645675567954,0.35870864886408926
England Championship,2021,46,14482,0.31763568567877365,49,0.33835105648391106,0.31763568567877365
England Championship,2022,118,14482,0.8148045850020715,55,0.3797817980941859,0.8148045850020715
England Championship,2023,24,14482,0.1657229664410993,48,0.3314459328821986,0.1657229664410993
England Championship,2024,52,14482,0.3590664272890485,176,1.2153017539013948,0.3590664272890485
England EFL League One,2021,34,14482,0.234774202458224,50,0.34525618008562353,0.234774202458224
England EFL League One,2022,58,14482,0.4004971688993233,60,0.41430741610274824,0.4004971688993233
England EFL League One,2023,40,14482,0.2762049440684988,48,0.3314459328821986,0.2762049440684988
England EFL League One,2024,62,14482,0.4281176633061732,90,0.6214611241541224,0.4281176633061732
England EFL League Two,2021,50,14482,0.34525618008562353,52,0.3590664272890485,0.34525618008562353
England EFL League Two,2022,56,14482,0.38668692169589836,55,0.3797817980941859,0.38668692169589836
England EFL League Two,2023,54,14482,0.3728766744924734,53,0.36597155089076094,0.3728766744924734
England EFL League Two,2024,136,14482,0.939096809832896,122,0.8424250794089214,0.939096809832896
England Premier League,2021,48,9880,0.48582995951417,42,0.4251012145748988,0.48582995951417
England Premier League,2022,24,9880,0.242914979757085,46,0.46558704453441296,0.242914979757085
England Premier League,2023,22,9880,0.22267206477732793,40,0.4048582995951417,0.22267206477732793
England Premier League,2024,34,9880,0.3441295546558704,61,0.6174089068825911,0.3441295546558704
France Ligue 1,2021,0,9880,0.0,45,0.45546558704453444,0.0
France Ligue 1,2022,0,9880,0.0,55,0.5566801619433198,0.0
France Ligue 1,2023,0,7956,0.0,36,0.45248868778280543,0.0
France Ligue 1,2024,20,7956,0.2513826043237808,102,1.2820512820512822,0.2513826043237808
France Ligue 2,2021,0,9932,0.0,49,0.49335481272654047,0.0
France Ligue 2,2022,0,9880,0.0,45,0.45546558704453444,0.0
France Ligue 2,2023,0,9932,0.0,40,0.4027386226339106,0.0
France Ligue 2,2024,96,8008,1.1988011988011988,136,1.6983016983016983,1.1988011988011988
Germany 2. Bundesliga,2021,0,7956,0.0,39,0.49019607843137253,0.0
Germany 2. Bundesliga,2022,0,7956,0.0,42,0.5279034690799397,0.0
Germany 2. Bundesliga,2023,0,7956,0.0,40,0.5027652086475616,0.0
Germany 2. Bundesliga,2024,48,7956,0.6033182503770739,110,1.3826043237807943,0.6033182503770739
Germany Bundesliga,2021,0,7956,0.0,41,0.5153343388637506,0.0
Germany Bundesliga,2022,0,7956,0.0,38,0.47762694821518353,0.0
Germany Bundesliga,2023,0,7956,0.0,36,0.45248868778280543,0.0
Germany Bundesliga,2024,8,7956,0.10055304172951232,82,1.0306686777275011,0.10055304172951232
India Indian Super League,2021,10,2990,0.33444816053511706,33,1.1036789297658862,0.33444816053511706
India Indian Super League,2022,4,3042,0.13149243918474687,33,1.0848126232741617,0.13149243918474687
India Indian Super League,2023,18,3614,0.49806308799114557,28,0.774764803541782,0.49806308799114557
India Indian Super League,2024,110,4238,2.595563945257197,114,2.6899480887210947,2.595563945257197
Italy Serie A,2021,0,9880,0.0,49,0.4959514170040486,0.0
Italy Serie A,2022,0,9906,0.0,56,0.5653139511407228,0.0
Italy Serie A,2023,0,9880,0.0,40,0.4048582995951417,0.0
Italy Serie A,2024,24,9880,0.242914979757085,97,0.9817813765182186,0.242914979757085
Italy Serie B,2021,0,10140,0.0,57,0.5621301775147929,0.0
Italy Serie B,2022,0,10140,0.0,97,0.9566074950690335,0.0
Italy Serie B,2023,0,10140,0.0,40,0.39447731755424065,0.0
Italy Serie B,2024,38,10140,0.3747534516765286,135,1.331360946745562,0.3747534516765286
Netherlands Eredivisie,2021,2,8112,0.02465483234714004,46,0.5670611439842209,0.02465483234714004
Netherlands Eredivisie,2022,0,8112,0.0,42,0.5177514792899408,0.0
Netherlands Eredivisie,2023,0,8034,0.0,37,0.4605426935524023,0.0
Netherlands Eredivisie,2024,52,8034,0.6472491909385113,90,1.1202389843166543,0.6472491909385113
Poland Ekstraklasa,2021,0,7956,0.0,48,0.6033182503770739,0.0
Poland Ekstraklasa,2022,0,7956,0.0,47,0.5907491201608849,0.0
Poland Ekstraklasa,2023,0,7956,0.0,48,0.6033182503770739,0.0
Poland Ekstraklasa,2024,24,7956,0.30165912518853694,43,0.5404725992961287,0.30165912518853694
Portugal Liga NOS,2021,0,7956,0.0,41,0.5153343388637506,0.0
Portugal Liga NOS,2022,0,7956,0.0,46,0.5781799899446959,0.0
Portugal Liga NOS,2023,0,7956,0.0,36,0.45248868778280543,0.0
Portugal Liga NOS,2024,12,7956,0.15082956259426847,97,1.219205630970337,0.15082956259426847
