skill,n_missing,n_total,missing_pct
sprint_speed,8601,373540,2.3025646517106604
stamina,8581,373540,2.297210472774
acceleration,7264,373540,1.944637789794935
ball_control,7160,373540,1.9167960593243025
reactions,6612,373540,1.770091556459817
short_passing,6608,373540,1.7690207206724848
strength,6531,373540,1.7484071317663437
jumping,6334,373540,1.695668469240242
dribbling,6177,373540,1.6536381645874605
agility,5497,373540,1.4715960807410184
standing_tackle,5097,373540,1.364512502007817
long_passing,4978,373540,1.3326551373346898
finishing,4715,373540,1.2622476843176098
defensive_awareness,4585,373540,1.2274455212293194
interceptions,4503,373540,1.2054933875890133
sliding_tackle,4477,373540,1.198532954971355
vision,4458,373540,1.193446484981528
positioning,4416,373540,1.182202709214542
balance,4391,373540,1.1755099855437168
crossing,4028,373540,1.0783316378433367
composure,4000,373540,1.0708357873320127
heading_accuracy,3729,373540,0.9982866627402688
shot_power,3597,373540,0.9629490817583124
aggression,3494,373540,0.935375060234513
long_shots,3397,373540,0.9094072923917117
curve,2391,373540,0.6400920918777105
volleys,1710,373540,0.4577822990844354
fk_accuracy,1618,373540,0.4331530759757991
penalties,1260,373540,0.33731327300958397
gk_reflexes,940,373540,0.25164641002302296
gk_positioning,912,373540,0.2441505595116989
gk_diving,910,373540,0.24361514161803288
gk_handling,839,373540,0.22460780639288966
gk_kicking,755,373540,0.20212025485891738
