competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Australia A-League,2021,28,4238,0.6606890042472865,28,0.6606890042472865,0.6606890042472865
Australia A-League,2022,32,4238,0.7550731477111845,32,0.7550731477111845,0.7550731477111845
Australia A-League,2023,40,4394,0.9103322712790168,28,0.6372325898953118,0.9103322712790168
Australia A-League,2024,46,4576,1.0052447552447552,30,0.6555944055944056,1.0052447552447552
Austria Bundesliga,2021,28,5070,0.5522682445759369,28,0.5522682445759369,0.5522682445759369
Austria Bundesliga,2022,24,5070,0.47337278106508873,24,0.47337278106508873,0.47337278106508873
Austria Bundesliga,2023,24,5070,0.47337278106508873,24,0.47337278106508873,0.47337278106508873
Austria Bundesliga,2024,98,5070,1.9329388560157792,62,1.222879684418146,1.9329388560157792
Belgium Pro League,2021,66,8580,0.7692307692307693,48,0.5594405594405595,0.7692307692307693
Belgium Pro League,2022,48,8580,0.5594405594405595,48,0.5594405594405595,0.5594405594405595
Belgium Pro League,2023,58,8138,0.7127058245269108,40,0.4915212582944212,0.7127058245269108
Belgium Pro League,2024,116,8138,1.4254116490538216,84,1.0321946424182846,1.4254116490538216
Denmark Superliga,2021,24,5018,0.4782781984854524,24,0.4782781984854524,0.4782781984854524
Denmark Superliga,2022,36,5018,0.7174172977281785,32,0.6377042646472698,0.7174172977281785
Denmark Superliga,2023,28,5018,0.5579912315663611,28,0.5579912315663611,0.5579912315663611
Denmark Superliga,2024,42,5018,0.8369868473495417,24,0.4782781984854524,0.8369868473495417
England Championship,2021,94,14482,0.6490816185609722,48,0.3314459328821986,0.6490816185609722
England Championship,2022,170,14482,1.17387101229112,52,0.3590664272890485,1.17387101229112
England Championship,2023,72,14482,0.4971688993232979,48,0.3314459328821986,0.4971688993232979
England Championship,2024,218,14482,1.5053169451733186,166,1.1462505178842701,1.5053169451733186
England EFL League One,2021,82,14482,0.5662201353404226,48,0.3314459328821986,0.5662201353404226
England EFL League One,2022,118,14482,0.8148045850020715,60,0.41430741610274824,0.8148045850020715
England EFL League One,2023,88,14482,0.6076508769506974,48,0.3314459328821986,0.6076508769506974
England EFL League One,2024,146,14482,1.0081480458500207,84,0.5800303825438475,1.0081480458500207
England EFL League Two,2021,102,14482,0.704322607374672,52,0.3590664272890485,0.704322607374672
England EFL League Two,2022,108,14482,0.7457533489849468,52,0.3590664272890485,0.7457533489849468
England EFL League Two,2023,106,14482,0.7319431017815219,52,0.3590664272890485,0.7319431017815219
England EFL League Two,2024,246,14482,1.6986604060212678,110,0.7595635961883718,1.6986604060212678
England Premier League,2021,88,9880,0.8906882591093117,40,0.4048582995951417,0.8906882591093117
England Premier League,2022,64,9880,0.6477732793522267,40,0.4048582995951417,0.6477732793522267
England Premier League,2023,62,9880,0.6275303643724697,40,0.4048582995951417,0.6275303643724697
England Premier League,2024,90,9880,0.9109311740890689,56,0.5668016194331984,0.9109311740890689
France Ligue 1,2021,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
France Ligue 1,2022,44,9880,0.44534412955465585,44,0.44534412955465585,0.44534412955465585
France Ligue 1,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
France Ligue 1,2024,120,7956,1.5082956259426847,100,1.256913021618904,1.5082956259426847
France Ligue 2,2021,48,9932,0.4832863471606927,48,0.4832863471606927,0.4832863471606927
France Ligue 2,2022,44,9880,0.44534412955465585,44,0.44534412955465585,0.44534412955465585
France Ligue 2,2023,40,9932,0.4027386226339106,40,0.4027386226339106,0.4027386226339106
France Ligue 2,2024,228,8008,2.8471528471528473,132,1.6483516483516483,2.8471528471528473
Germany 2. Bundesliga,2021,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
