competition,n_matches
England Championship,2228
England EFL League One,2228
England EFL League Two,2228
Spain Segunda División,1868
Italy Serie B,1560
Italy Serie A,1521
England Premier League,1520
Spain La Liga,1520
France Ligue 2,1452
Turkey Süper Lig,1444
France Ligue 1,1372
Belgium Pro League,1286
Netherlands Eredivisie,1242
Portugal Liga NOS,1224
Poland Ekstraklasa,1224
Germany 2. Bundesliga,1224
Germany Bundesliga,1224
Saudi Arabia Professional League,1092
Scotland Premiership,912
Switzerland Super League,816
Austria Bundesliga,780
Denmark Superliga,772
Australia A-League,671
India Indian Super League,534
