skill,n_missing,n_total,missing_pct
sprint_speed,1283,373540,0.34347057878674303
stamina,1161,373540,0.31081008727311665
acceleration,1091,373540,0.29207046099480644
strength,1003,373540,0.26851207367350216
jumping,891,373540,0.23852867162820582
ball_control,830,373540,0.22219842587139263
agility,748,373540,0.20024629223108636
dribbling,736,373540,0.19703378486909032
balance,711,373540,0.19034106119826524
short_passing,691,373540,0.18498688226160517
reactions,669,373540,0.17909728543127912
standing_tackle,530,373540,0.14188574182149166
long_passing,494,373540,0.13224821973550355
crossing,490,373540,0.13117738394817155
finishing,489,373540,0.13090967500133854
sliding_tackle,444,373540,0.1188627723938534
defensive_awareness,433,373540,0.11591797397869037
vision,433,373540,0.11591797397869037
heading_accuracy,420,373540,0.11243775766986133
positioning,388,373540,0.10387107137120523
interceptions,376,373540,0.10065856400920918
aggression,358,373540,0.09583980296621514
shot_power,356,373540,0.09530438507254912
composure,310,373540,0.08298977351823097
long_shots,298,373540,0.07977726615623494
curve,197,373540,0.05273866252610162
fk_accuracy,190,373540,0.0508646998982706
gk_positioning,116,373540,0.031054237832628367
gk_reflexes,114,373540,0.030518819938962362
volleys,114,373540,0.030518819938962362
gk_kicking,106,373540,0.028377148364298336
penalties,105,373540,0.028109439417465333
gk_diving,101,373540,0.02703860363013332
gk_handling,93,373540,0.024896932055469292
