stat_name,setting_name,n,mean,std,min,p50,p90,p95,p97,p99,max,current_constant,mean_plus_1_5_std,recommended_constant
goals scored,GOALS_NORM_COEFFICIENT,61482,1.3590156468559904,1.2162789825528597,0.0,1.0,3.0,4.0,4.0,5.0,9.0,5.0,3.18343412068528,5.0
shots on target,SHOTS_ON_G_NORM_COEFFICIENT,61386,5.002492424982895,2.513647040125515,0.0,5.0,8.0,9.0,10.0,12.0,24.0,12.0,8.772962985171167,12.0
shots off target,SHOTS_OFF_G_NORM_COEFFICIENT,61386,6.593246017007135,3.734529464544325,0.0,6.0,12.0,14.0,15.0,18.0,32.0,18.0,12.195040213823622,18.0
total shots,TOTAL_SHOTS_NORM_COEFFICIENT,61388,13.023310744770965,5.564626562577058,0.0,12.0,20.0,23.0,25.0,29.0,50.0,29.0,21.37025058863655,29.0
corner kicks,CORNER_KICKS_NORM_COEFFICIENT,61406,4.925854151060157,2.804621066201439,0.0,5.0,9.0,10.0,11.0,13.0,26.0,13.0,9.132785750362316,13.0
fouls committed,FOULS_NORM_COEFFICIENT,61336,11.688046171905569,4.072567652240192,0.0,11.0,17.0,19.0,20.0,22.0,34.0,22.0,17.796897650265855,22.0
ball possession,,61398,50.0,10.85048330929149,12.0,50.0,64.0,68.0,70.0,74.0,88.0,,66.27572496393724,74.0
attacks,ATTACKS_NORM_COEFFICIENT,61482,98.08950587163723,26.052492236483353,0.0,98.0,130.0,140.0,147.0,161.0,240.0,161.0,137.16824422636228,161.0
dangerous attacks,DANG_ATTACKS_NORM_COEFFICIENT,61482,47.01541914706743,18.759650534750108,0.0,45.0,71.0,81.0,87.0,100.0,168.0,100.0,75.1548949491926,100.0
in-match xG,TEAM_XG_NORM_COEFFICIENT,61482,1.426333398393026,0.517505645948296,0.0,1.38,2.1,2.35,2.52,2.86,4.58,2.86,2.20259186731547,2.86
pre-match xG,TEAM_PRE_MATCH_XG_NORM_COEFFICIENT,61482,1.3423886666016072,0.4486933017857702,0.0,1.37,1.82,1.98,2.09,2.35,3.69,2.35,2.0154286192802626,2.35
total in-match xG,TOTAL_XG_NORM_COEFFICIENT,30741,2.852666796786051,0.6331091538404763,0.0,2.84,3.6500000000000004,3.89,4.06,4.38,6.09,4.38,3.8023305275467654,4.38
total pre-match xG,TOTAL_PRE_MATCH_XG_NORM_COEFFICIENT,30741,2.6847773332032143,0.7787234852288408,0.0,2.77,3.42,3.63,3.7800000000000002,4.105999999999985,6.4,4.106,3.8528625610464755,4.105999999999985
match load per day,MATCH_LOAD_NORM_COEFFICIENT,122964,0.10793565596434729,0.05488838974052154,0.0,0.1,0.2,0.2,0.2,0.24,0.3,0.24,0.1902682405751296,0.24
