position,count,percentage
CM,147145,0.13283147838379716
CB,139969,0.1263535233810303
ST,120918,0.10915570833675617
CDM,102048,0.09212128652764098
LM,88152,0.07957701914770117
RM,84647,0.07641296782597627
CAM,78624,0.07097585481292377
GK,75150,0.06783978796793881
RB,71242,0.06431193844859477
LB,68716,0.062031654956818144
LW,40834,0.03686187494188707
RW,40470,0.03653328302145687
LWB,18333,0.016549658453975016
RWB,17264,0.015584645368975325
CF,14244,0.012858415699471996
LDM,1,9.027250561269303e-07
