comp_name,total_matches,regular_matches,non_regular_matches,non_regular_share
Belgium Pro League,1286,1092,194,0.15085536547433903
England Premier League,1520,1520,0,0.0
England Championship,2228,2208,20,0.008976660682226212
England EFL League One,2228,2208,20,0.008976660682226212
England EFL League Two,2228,2208,20,0.008976660682226212
France Ligue 1,1372,1372,0,0.0
France Ligue 2,1452,1446,6,0.004132231404958678
Netherlands Eredivisie,1242,1224,18,0.014492753623188406
Turkey Süper Lig,1102,1102,0,0.0
Germany Bundesliga,1224,1224,0,0.0
Germany 2. Bundesliga,1224,1224,0,0.0
Saudi Arabia Professional League,1092,1092,0,0.0
India Indian Super League,371,352,19,0.05121293800539083
Australia A-League,671,643,28,0.041728763040238454
Austria Bundesliga,780,528,252,0.3230769230769231
Spain La Liga,1520,1520,0,0.0
Spain Segunda División,1868,1848,20,0.010706638115631691
Italy Serie A,1521,1520,1,0.0006574621959237344
Italy Serie B,1170,1140,30,0.02564102564102564
Scotland Premiership,912,792,120,0.13157894736842105
Poland Ekstraklasa,918,918,0,0.0
Denmark Superliga,772,528,244,0.3160621761658031
Portugal Liga NOS,1224,1224,0,0.0
Switzerland Super League,816,756,60,0.07352941176470588
