comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
Australia A-League,2021,6639,12,163,156,7,0,7,0.04294478527607362,4,1,3,1,3,26,30,26.5,2021-11-19T00:00:00+00:00,2022-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Australia A-League,2022,8008,12,163,156,7,0,7,0.04294478527607362,4,1,3,1,3,26,29,26.5,2022-10-07T00:00:00+00:00,2023-06-03T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Australia A-League,2023,10505,12,169,162,7,0,7,0.04142011834319527,4,1,3,1,3,27,31,27.5,2023-10-20T00:00:00+00:00,2024-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Australia A-League,2024,13703,13,176,169,7,0,7,0.03977272727272727,4,1,3,1,3,26,30,26.0,2024-10-18T00:00:00+00:00,2025-05-31T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Austria Bundesliga,2021,6008,12,195,132,63,60,3,0.3230769230769231,5,1,4,3,2,32,35,32.0,2021-07-23T00:00:00+00:00,2022-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Austria Bundesliga,2022,7890,12,195,132,63,60,3,0.3230769230769231,5,1,4,3,2,32,35,32.0,2022-07-22T00:00:00+00:00,2023-06-11T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Austria Bundesliga,2023,9954,12,195,132,63,60,3,0.3230769230769231,5,1,4,3,2,32,35,32.0,2023-07-28T00:00:00+00:00,2024-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Austria Bundesliga,2024,12472,12,195,132,63,60,3,0.3230769230769231,5,1,4,3,2,32,35,32.0,2024-08-02T00:00:00+00:00,2025-06-01T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Belgium Pro League,2021,6079,18,330,306,24,0,24,0.07272727272727272,3,1,2,1,2,34,40,34.0,2021-07-23T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Belgium Pro League,2022,7544,18,330,306,24,0,24,0.07272727272727272,3,1,2,1,2,34,40,34.0,2022-07-22T00:00:00+00:00,2023-06-04T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Belgium Pro League,2023,9577,16,313,240,73,60,13,0.23322683706070288,5,1,4,3,2,36,41,40.0,2023-07-28T00:00:00+00:00,2024-06-02T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Belgium Pro League,2024,12137,16,313,240,73,60,13,0.23322683706070288,5,1,4,3,2,36,41,40.0,2024-07-26T00:00:00+00:00,2025-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
