comp_name,season,comp_season_id,round_id,match_count,distinct_teams,regular_matches,non_regular_matches,inferred_round_type,first_match_date,last_match_date
Australia A-League,2021,6639,76909,156,12,156,0,regular-season round type,2021-11-19T00:00:00+00:00,2022-05-10T00:00:00+00:00
Australia A-League,2021,6639,76910,1,2,0,1,non-regular round type,2022-05-28T00:00:00+00:00,2022-05-28T00:00:00+00:00
Australia A-League,2021,6639,76911,4,4,0,4,non-regular round type,2022-05-17T00:00:00+00:00,2022-05-22T00:00:00+00:00
Australia A-League,2021,6639,76912,2,4,0,2,non-regular round type,2022-05-14T00:00:00+00:00,2022-05-15T00:00:00+00:00
Australia A-League,2022,8008,92941,156,12,156,0,regular-season round type,2022-10-07T00:00:00+00:00,2023-04-29T00:00:00+00:00
Australia A-League,2022,8008,92942,1,2,0,1,non-regular round type,2023-06-03T00:00:00+00:00,2023-06-03T00:00:00+00:00
Australia A-League,2022,8008,92943,4,4,0,4,non-regular round type,2023-05-12T00:00:00+00:00,2023-05-20T00:00:00+00:00
Australia A-League,2022,8008,92944,2,4,0,2,non-regular round type,2023-05-05T00:00:00+00:00,2023-05-06T00:00:00+00:00
Australia A-League,2023,10505,103342,162,12,162,0,regular-season round type,2023-10-20T00:00:00+00:00,2024-05-01T00:00:00+00:00
Australia A-League,2023,10505,103343,1,2,0,1,non-regular round type,2024-05-25T00:00:00+00:00,2024-05-25T00:00:00+00:00
Australia A-League,2023,10505,103344,4,4,0,4,non-regular round type,2024-05-10T00:00:00+00:00,2024-05-18T00:00:00+00:00
Australia A-League,2023,10505,103345,2,4,0,2,non-regular round type,2024-05-04T00:00:00+00:00,2024-05-05T00:00:00+00:00
Australia A-League,2024,13703,114723,1,2,0,1,non-regular round type,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00
Australia A-League,2024,13703,114724,4,4,0,4,non-regular round type,2025-05-16T00:00:00+00:00,2025-05-24T00:00:00+00:00
Australia A-League,2024,13703,114725,2,4,0,2,non-regular round type,2025-05-09T00:00:00+00:00,2025-05-10T00:00:00+00:00
Australia A-League,2024,13703,114726,169,13,169,0,regular-season round type,2024-10-18T00:00:00+00:00,2025-05-04T00:00:00+00:00
Austria Bundesliga,2021,6008,70480,132,12,132,0,regular-season round type,2021-07-23T00:00:00+00:00,2022-03-06T00:00:00+00:00
Austria Bundesliga,2021,6008,70481,2,2,0,2,non-regular round type,2022-05-26T00:00:00+00:00,2022-05-29T00:00:00+00:00
Austria Bundesliga,2021,6008,70482,1,2,0,1,non-regular round type,2022-05-23T00:00:00+00:00,2022-05-23T00:00:00+00:00
Austria Bundesliga,2021,6008,70483,30,6,0,30,non-regular round type,2022-03-13T00:00:00+00:00,2022-05-21T00:00:00+00:00
Austria Bundesliga,2021,6008,70484,30,6,0,30,non-regular round type,2022-03-12T00:00:00+00:00,2022-05-20T00:00:00+00:00
Austria Bundesliga,2022,7890,92495,132,12,132,0,regular-season round type,2022-07-22T00:00:00+00:00,2023-03-19T00:00:00+00:00
Austria Bundesliga,2022,7890,92496,2,2,0,2,non-regular round type,2023-06-08T00:00:00+00:00,2023-06-11T00:00:00+00:00
Austria Bundesliga,2022,7890,92497,1,2,0,1,non-regular round type,2023-06-05T00:00:00+00:00,2023-06-05T00:00:00+00:00
Austria Bundesliga,2022,7890,92498,30,6,0,30,non-regular round type,2023-04-02T00:00:00+00:00,2023-06-03T00:00:00+00:00
Austria Bundesliga,2022,7890,92499,30,6,0,30,non-regular round type,2023-03-31T00:00:00+00:00,2023-06-02T00:00:00+00:00
Austria Bundesliga,2023,9954,101611,132,12,132,0,regular-season round type,2023-07-28T00:00:00+00:00,2024-03-10T00:00:00+00:00
Austria Bundesliga,2023,9954,101612,30,6,0,30,non-regular round type,2024-03-16T00:00:00+00:00,2024-05-18T00:00:00+00:00
Austria Bundesliga,2023,9954,101613,30,6,0,30,non-regular round type,2024-03-15T00:00:00+00:00,2024-05-19T00:00:00+00:00
Austria Bundesliga,2023,9954,101614,2,2,0,2,non-regular round type,2024-05-24T00:00:00+00:00,2024-05-28T00:00:00+00:00
Austria Bundesliga,2023,9954,101615,1,2,0,1,non-regular round type,2024-05-21T00:00:00+00:00,2024-05-21T00:00:00+00:00
Austria Bundesliga,2024,12472,110504,132,12,132,0,regular-season round type,2024-08-02T00:00:00+00:00,2025-03-16T00:00:00+00:00
Austria Bundesliga,2024,12472,110505,30,6,0,30,non-regular round type,2025-03-30T00:00:00+00:00,2025-05-24T00:00:00+00:00
Austria Bundesliga,2024,12472,110506,30,6,0,30,non-regular round type,2025-03-28T00:00:00+00:00,2025-05-23T00:00:00+00:00
Austria Bundesliga,2024,12472,110507,2,2,0,2,non-regular round type,2025-05-29T00:00:00+00:00,2025-06-01T00:00:00+00:00
Austria Bundesliga,2024,12472,110508,1,2,0,1,non-regular round type,2025-05-26T00:00:00+00:00,2025-05-26T00:00:00+00:00
Belgium Pro League,2021,6079,71342,306,18,306,0,regular-season round type,2021-07-23T00:00:00+00:00,2022-04-10T00:00:00+00:00
Belgium Pro League,2021,6079,71344,12,4,0,12,non-regular round type,2022-04-24T00:00:00+00:00,2022-05-22T00:00:00+00:00
Belgium Pro League,2021,6079,71345,12,4,0,12,non-regular round type,2022-04-23T00:00:00+00:00,2022-05-21T00:00:00+00:00
Belgium Pro League,2022,7544,91136,306,18,306,0,regular-season round type,2022-07-22T00:00:00+00:00,2023-04-23T00:00:00+00:00
Belgium Pro League,2022,7544,91138,12,4,0,12,non-regular round type,2023-04-30T00:00:00+00:00,2023-06-04T00:00:00+00:00
Belgium Pro League,2022,7544,91139,12,4,0,12,non-regular round type,2023-04-28T00:00:00+00:00,2023-06-03T00:00:00+00:00
Belgium Pro League,2023,9577,100236,240,16,240,0,regular-season round type,2023-07-28T00:00:00+00:00,2024-03-17T00:00:00+00:00
Belgium Pro League,2023,9577,100237,30,6,0,30,non-regular round type,2024-03-30T00:00:00+00:00,2024-05-26T00:00:00+00:00
Belgium Pro League,2023,9577,100238,30,6,0,30,non-regular round type,2024-03-29T00:00:00+00:00,2024-05-25T00:00:00+00:00
Belgium Pro League,2023,9577,100239,12,4,0,12,non-regular round type,2024-04-06T00:00:00+00:00,2024-05-11T00:00:00+00:00
Belgium Pro League,2023,9577,100360,1,2,0,1,non-regular round type,2024-06-02T00:00:00+00:00,2024-06-02T00:00:00+00:00
Belgium Pro League,2024,12137,109364,240,16,240,0,regular-season round type,2024-07-26T00:00:00+00:00,2025-03-16T00:00:00+00:00
Belgium Pro League,2024,12137,109365,30,6,0,30,non-regular round type,2025-03-29T00:00:00+00:00,2025-05-25T00:00:00+00:00
Belgium Pro League,2024,12137,109366,30,6,0,30,non-regular round type,2025-03-28T00:00:00+00:00,2025-05-24T00:00:00+00:00
Belgium Pro League,2024,12137,109367,12,4,0,12,non-regular round type,2025-03-29T00:00:00+00:00,2025-05-10T00:00:00+00:00
Belgium Pro League,2024,12137,109368,1,2,0,1,non-regular round type,2025-05-29T00:00:00+00:00,2025-05-29T00:00:00+00:00
Denmark Superliga,2021,5961,69687,132,12,132,0,regular-season round type,2021-07-16T00:00:00+00:00,2022-03-20T00:00:00+00:00
Denmark Superliga,2021,5961,69688,1,2,0,1,non-regular round type,2022-05-29T00:00:00+00:00,2022-05-29T00:00:00+00:00
Denmark Superliga,2021,5961,69689,30,6,0,30,non-regular round type,2022-04-03T00:00:00+00:00,2022-05-22T00:00:00+00:00
Denmark Superliga,2021,5961,69690,30,6,0,30,non-regular round type,2022-04-01T00:00:00+00:00,2022-05-21T00:00:00+00:00
Denmark Superliga,2022,7426,90173,132,12,132,0,regular-season round type,2022-07-15T00:00:00+00:00,2023-03-19T00:00:00+00:00
Denmark Superliga,2022,7426,90174,1,2,0,1,non-regular round type,2023-06-09T00:00:00+00:00,2023-06-09T00:00:00+00:00
Denmark Superliga,2022,7426,90175,30,6,0,30,non-regular round type,2023-04-02T00:00:00+00:00,2023-06-04T00:00:00+00:00
