competition,season,matches,team_sides,legacy_observed_cells,legacy_missing_cells,legacy_observation_rate,past_only_nearest_cells,past_only_older_cells,past_only_observed_cells,past_only_unresolved_cells,past_only_observation_rate,legacy_only_observed_cells,past_only_only_observed_cells,both_observed_equal_cells,both_observed_changed_cells,both_missing_cells,matched_player_rows,unmatched_player_rows,maximum_source_age_days
Australia A-League,2021,156,312,116246,442,0.9962121212121212,114683,621,115304,1384,0.9881393116687235,942,0,115304,0,442,3425,7,119
Australia A-League,2022,156,312,116617,71,0.9993915398327163,109594,5578,115172,1516,0.9870080899492664,1445,0,115172,0,71,3430,2,120
Australia A-League,2023,162,324,119952,1224,0.98989898989899,118200,753,118953,2223,0.9816547831253714,999,0,118953,0,1224,3529,35,118
Australia A-League,2024,169,338,121414,4998,0.9604626143087681,120247,113,120360,6052,0.9521247982786444,1224,170,118804,1386,4828,3569,149,119
Austria Bundesliga,2021,192,384,143616,0,1.0,137961,229,138190,5426,0.9622186942959001,5426,0,138190,0,0,4224,0,120
Austria Bundesliga,2022,192,384,143548,68,0.9995265151515151,133464,5184,138648,4968,0.9654077540106952,4900,0,138648,0,68,4222,2,120
Austria Bundesliga,2023,192,384,143548,68,0.9995265151515151,138389,2467,140856,2760,0.9807820855614974,2692,0,140856,0,68,4224,0,118
Austria Bundesliga,2024,192,384,143582,34,0.9997632575757576,139600,969,140569,3047,0.9787837009803921,3013,0,140569,0,34,4223,1,114
Belgium Pro League,2021,306,612,226842,2046,0.9910611303344867,216864,2142,219006,9882,0.956826045926392,7836,0,219006,0,2046,6675,57,119
Belgium Pro League,2022,306,612,227582,1306,0.9942941525986508,211117,10271,221388,7500,0.9672328824577959,6194,0,221388,0,1306,6696,36,120
Belgium Pro League,2023,300,600,222813,1587,0.992927807486631,218850,1035,219885,4515,0.979879679144385,2928,0,219885,0,1587,6558,42,117
Belgium Pro League,2024,300,600,222632,1768,0.9921212121212121,216166,2932,219098,5302,0.9763725490196078,3534,0,219098,0,1768,6575,25,117
Denmark Superliga,2021,192,384,142902,714,0.9950284090909091,134428,1396,135824,7792,0.9457442067736186,7078,0,135824,0,714,4215,9,120
Denmark Superliga,2022,192,384,143410,206,0.99856561942959,132408,8038,140446,3170,0.9779272504456328,2964,0,140446,0,206,4224,0,120
Denmark Superliga,2023,192,384,143412,204,0.9985795454545454,139958,378,140336,3280,0.9771613190730838,3076,0,140336,0,204,4220,4,118
Denmark Superliga,2024,191,382,140182,2686,0.9811994288434079,136875,757,137632,5236,0.9633507853403142,2550,0,137050,582,2686,4119,83,117
England Championship,2021,552,1104,406946,5950,0.9855895915678524,404377,977,405354,7542,0.9817338990932342,1592,0,405354,0,5950,11969,175,120
England Championship,2022,552,1104,404974,7922,0.9808135704874835,387404,14664,402068,10828,0.973775478570875,2906,0,402068,0,7922,11913,231,120
England Championship,2023,552,1104,405790,7106,0.9827898550724637,402153,2445,404598,8298,0.9799029295512671,1192,0,404598,0,7106,11944,200,119
England Championship,2024,552,1104,404637,8259,0.9799973843292258,394398,8278,402676,10220,0.975248004340076,2097,136,401412,1128,8123,11897,247,119
England EFL League One,2021,552,1104,404260,8636,0.9790843214756259,398584,2090,400674,12222,0.9703993257382004,3586,0,400674,0,8636,11939,205,120
England EFL League One,2022,552,1104,407048,5848,0.985836627140975,382517,20968,403485,9411,0.9772073355033714,3563,0,403485,0,5848,11972,172,120
England EFL League One,2023,552,1104,403240,9656,0.9766139657444005,396364,2194,398558,14338,0.9652745485545997,4784,102,390517,7939,9554,11834,310,118
England EFL League One,2024,552,1104,403988,8908,0.9784255599472991,397899,3887,401786,11110,0.9730924978687127,2338,136,400972,678,8772,11889,255,119
England EFL League Two,2021,552,1104,403920,8976,0.9782608695652174,392781,1915,394696,18200,0.9559211036193134,9224,0,394696,0,8976,11880,264,119
England EFL League Two,2022,552,1104,403478,9418,0.9771903820816864,375712,18835,394547,18349,0.9555602379291638,8931,0,385046,9501,9418,11844,300,120
England EFL League Two,2023,552,1104,402152,10744,0.9739789196310935,396693,801,397494,15402,0.962697628458498,4658,0,397265,229,10744,11834,310,118
England EFL League Two,2024,552,1104,402934,9962,0.975872859025033,394929,2177,397106,15790,0.961757924513679,5828,0,396716,390,9962,11849,295,119
England Premier League,2021,380,760,283832,408,0.9985645933014354,281151,2545,283696,544,0.9980861244019139,136,0,283696,0,408,8360,0,120
England Premier League,2022,380,760,284218,22,0.999922600619195,269025,13593,282618,1622,0.9942935547424712,1600,0,282618,0,22,8360,0,120
England Premier League,2023,380,760,282472,1768,0.9937799043062201,278885,3280,282165,2075,0.9926998311286237,307,0,282165,0,1768,8309,51,120
England Premier League,2024,380,760,282642,1598,0.994377990430622,278571,3458,282029,2211,0.9922213622291022,613,0,282029,0,1598,8313,47,120
France Ligue 1,2021,380,760,284240,0,1.0,280134,2573,282707,1533,0.9946066704193639,1533,0,282707,0,0,8360,0,119
France Ligue 1,2022,380,760,284216,24,0.9999155643118491,265066,15078,280144,4096,0.9855896425555868,4072,0,280144,0,24,8360,0,120
France Ligue 1,2023,306,612,228752,136,0.9994058229352347,226396,822,227218,1670,0.9927038551606026,1534,0,227218,0,136,6731,1,118
France Ligue 1,2024,306,612,226900,1988,0.9913145293768131,223820,1488,225308,3580,0.9843591625598546,1592,0,225308,0,1988,6678,54,119
France Ligue 2,2021,380,760,283084,1156,0.995933014354067,273706,1032,274738,9502,0.966570503799606,8346,0,274738,0,1156,8327,33,119
France Ligue 2,2022,380,760,281829,2411,0.9915177314945117,260596,12496,273092,11148,0.9607796228539263,8737,0,273092,0,2411,8292,68,120
France Ligue 2,2023,380,760,282846,1394,0.9950956937799043,276127,570,276697,7543,0.9734625668449198,6149,0,276697,0,1394,8323,37,119
France Ligue 2,2024,306,612,227630,1258,0.994503862150921,221654,228,221882,7006,0.9693911432665758,5748,0,221882,0,1258,6695,37,119
Germany 2. Bundesliga,2021,306,612,228038,850,0.9962863933452168,224715,1044,225759,3129,0.9863295585613925,2279,0,225759,0,850,6707,25,120
Germany 2. Bundesliga,2022,306,612,228544,344,0.9984970815420643,214485,11864,226349,2539,0.9889072384747125,2195,0,226188,161,344,6721,11,120
Germany 2. Bundesliga,2023,306,612,228208,680,0.9970291146761735,226006,686,226692,2196,0.9904057879836426,1516,0,226593,99,680,6712,20,119
Germany 2. Bundesliga,2024,306,612,228888,0,1.0,226509,713,227222,1666,0.9927213309566251,1666,0,224025,3197,0,6700,32,119
Germany Bundesliga,2021,306,612,228854,34,0.9998514557338086,227231,1147,228378,510,0.9977718360071302,476,0,228378,0,34,6731,1,120
Germany Bundesliga,2022,306,612,228888,0,1.0,215069,12165,227234,1654,0.9927737583446926,1654,0,227234,0,0,6732,0,120
Germany Bundesliga,2023,306,612,228242,646,0.9971776589423649,226357,1650,228007,881,0.9961509559260424,235,0,228007,0,646,6713,19,118
Germany Bundesliga,2024,306,612,228174,714,0.9968805704099821,226485,1111,227596,1292,0.9943553178847296,578,0,227596,0,714,6711,21,119
India Indian Super League,2021,110,220,80512,1768,0.9785123966942149,79237,17,79254,3026,0.9632231404958678,1258,0,79254,0,1768,2368,52,65
India Indian Super League,2022,110,220,80240,2040,0.9752066115702479,75560,2998,78558,3722,0.9547642197374818,1682,0,78558,0,2040,2360,60,120
India Indian Super League,2023,132,264,97376,1360,0.9862258953168044,95490,16,95506,3230,0.9672865013774105,1870,0,95506,0,1360,2870,34,120
Italy Serie A,2021,380,760,283894,346,0.9987827188291585,279859,1965,281824,2416,0.9915001407261469,2070,0,281824,0,346,8356,4,120
Italy Serie A,2022,380,760,284200,40,0.9998592738530819,265677,14941,280618,3622,0.9872572473965663,3582,0,280618,0,40,8360,0,120
Italy Serie A,2023,380,760,284240,0,1.0,280681,2725,283406,834,0.9970658598367577,834,0,283406,0,0,8360,0,119
Italy Serie A,2024,380,760,283696,544,0.9980861244019139,280265,2795,283060,1180,0.9958485786659161,636,0,283060,0,544,8346,14,120
