(397, 'FC Midtjylland', 2021): 0.594	0.275	0.414	0.728	0.637	0.341	0.366	0.807	0.723	0.330	0.408	0.892	0.670	0.370	0.388	0.909	0.602	0.349	0.296	0.758	0.598	0.376	0.327	0.768	0.646	0.061	0.610	0.667	
(405, 'Odense', 2021): 0.578	0.232	0.387	0.736	0.582	0.318	0.361	0.744	0.672	0.359	0.419	0.916	0.647	0.404	0.293	0.935	0.555	0.372	0.176	0.799	0.568	0.304	0.313	0.714	0.631	0.055	0.606	0.653	
(395, 'Vejle', 2021): 0.536	0.293	0.337	0.686	0.578	0.299	0.362	0.707	0.646	0.351	0.373	0.878	0.629	0.396	0.206	0.874	0.547	0.405	0.207	0.798	0.566	0.319	0.315	0.675	0.662	0.073	0.624	0.688	
(401, 'Randers FC', 2021): 0.561	0.251	0.363	0.705	0.586	0.293	0.330	0.725	0.658	0.395	0.337	0.873	0.640	0.382	0.314	0.907	0.576	0.310	0.225	0.766	0.583	0.268	0.376	0.680	0.700	0.039	0.687	0.723	
(398, 'FC Nordsjaelland', 2021): 0.530	0.285	0.294	0.735	0.581	0.320	0.341	0.732	0.695	0.284	0.455	0.883	0.598	0.371	0.256	0.846	0.548	0.364	0.201	0.749	0.573	0.299	0.339	0.699	0.615	0.024	0.606	0.626	
(2070, 'Viborg', 2021): 0.557	0.256	0.338	0.698	0.580	0.241	0.412	0.713	0.613	0.376	0.347	0.864	0.640	0.388	0.265	0.877	0.552	0.337	0.247	0.743	0.600	0.171	0.451	0.676	0.637	0.053	0.612	0.659	
(400, 'FC Copenhagen', 2021): 0.625	0.275	0.382	0.769	0.643	0.288	0.425	0.780	0.702	0.276	0.465	0.892	0.675	0.361	0.333	0.892	0.603	0.385	0.215	0.785	0.602	0.389	0.301	0.737	0.698	0.096	0.649	0.737	
(402, 'Aalborg', 2021): 0.559	0.322	0.350	0.721	0.594	0.337	0.328	0.736	0.647	0.258	0.406	0.781	0.647	0.373	0.236	0.921	0.569	0.386	0.202	0.791	0.575	0.515	0.174	0.711	0.739	0.050	0.719	0.762	
(406, 'Aarhus', 2021): 0.571	0.336	0.327	0.754	0.601	0.329	0.323	0.744	0.681	0.331	0.386	0.887	0.634	0.471	0.234	0.906	0.579	0.432	0.230	0.857	0.630	0.191	0.472	0.724	0.744	0.049	0.724	0.772	
(407, 'Brondby', 2021): 0.561	0.288	0.339	0.722	0.596	0.347	0.301	0.734	0.686	0.343	0.446	0.907	0.656	0.352	0.312	0.862	0.577	0.391	0.187	0.808	0.628	0.213	0.504	0.768	0.668	0.055	0.643	0.697	
(2073, 'Silkeborg', 2021): 0.548	0.305	0.316	0.696	0.584	0.241	0.393	0.686	0.658	0.283	0.384	0.837	0.622	0.394	0.312	0.848	0.552	0.331	0.258	0.707	0.562	0.276	0.371	0.674	0.679	0.041	0.662	0.699	
(396, 'Sonderjyske', 2021): 0.554	0.289	0.325	0.710	0.582	0.283	0.356	0.706	0.655	0.284	0.445	0.874	0.636	0.382	0.328	0.865	0.559	0.334	0.263	0.803	0.573	0.265	0.359	0.684	0.683	0.000	0.683	0.683	
(3487, 'Nieciecza', 2021): 0.544	0.291	0.301	0.675	0.556	0.294	0.337	0.663	0.672	0.267	0.479	0.840	0.615	0.399	0.302	0.828	0.550	0.311	0.272	0.775	0.522	0.406	0.221	0.665	0.622	0.084	0.593	0.667	
(3493, 'Stal Mielec', 2021): 0.545	0.290	0.317	0.681	0.555	0.250	0.317	0.660	0.652	0.400	0.305	0.892	0.605	0.461	0.214	0.913	0.538	0.387	0.207	0.775	0.536	0.439	0.191	0.681	0.632	0.085	0.591	0.666	
(174, 'FC Schalke 04', 2021): 0.619	0.349	0.365	0.817	0.618	0.355	0.328	0.780	0.680	0.265	0.476	0.835	0.672	0.402	0.274	0.906	0.610	0.392	0.225	0.840	0.634	0.330	0.366	0.790	0.702	0.137	0.616	0.737	
(175, 'Hamburger SV', 2021): 0.591	0.356	0.318	0.754	0.595	0.427	0.283	0.766	0.684	0.318	0.414	0.894	0.658	0.401	0.284	0.858	0.578	0.425	0.212	0.778	0.614	0.490	0.221	0.790	0.708	0.085	0.674	0.752	
(347, 'Lech Poznan', 2021): 0.610	0.241	0.458	0.741	0.615	0.329	0.327	0.740	0.689	0.401	0.342	0.927	0.652	0.397	0.271	0.884	0.585	0.379	0.241	0.822	0.582	0.472	0.231	0.739	0.672	0.064	0.645	0.705	
(4248, 'Radomiak Radom', 2021): 0.558	0.323	0.298	0.702	0.592	0.277	0.370	0.728	0.662	0.304	0.460	0.889	0.613	0.427	0.223	0.896	0.533	0.415	0.224	0.749	0.533	0.464	0.242	0.724	0.616	0.002	0.615	0.617	
(637, 'Sturm Graz', 2021): 0.591	0.331	0.349	0.736	0.603	0.359	0.300	0.741	0.686	0.334	0.353	0.908	0.654	0.376	0.333	0.884	0.588	0.377	0.211	0.766	0.606	0.430	0.229	0.757	0.723	0.083	0.687	0.758	
(571, 'Red Bull Salzburg', 2021): 0.611	0.308	0.333	0.771	0.654	0.304	0.350	0.788	0.737	0.291	0.436	0.926	0.699	0.327	0.334	0.923	0.621	0.380	0.212	0.809	0.650	0.331	0.361	0.773	0.677	0.084	0.643	0.713	
(733, 'Standard Liege', 2021): 0.650	0.241	0.432	0.761	0.659	0.323	0.382	0.785	0.687	0.312	0.374	0.848	0.673	0.396	0.227	0.876	0.600	0.441	0.165	0.806	0.615	0.298	0.395	0.756	0.713	0.070	0.674	0.743	
(742, 'Genk', 2021): 0.654	0.355	0.368	0.836	0.671	0.361	0.314	0.814	0.722	0.317	0.360	0.921	0.677	0.432	0.250	0.925	0.631	0.442	0.247	0.850	0.668	0.332	0.381	0.786	0.693	0.116	0.640	0.738	
(180, '1. FC Heidenheim', 2021): 0.612	0.309	0.354	0.760	0.605	0.311	0.346	0.736	0.659	0.340	0.347	0.858	0.678	0.396	0.256	0.909	0.575	0.389	0.257	0.794	0.627	0.430	0.248	0.764	0.708	0.099	0.654	0.748	
(185, 'SC Paderborn 07', 2021): 0.572	0.341	0.347	0.745	0.607	0.355	0.345	0.759	0.681	0.331	0.364	0.894	0.634	0.415	0.295	0.881	0.574	0.389	0.245	0.782	0.587	0.408	0.307	0.744	0.712	0.101	0.667	0.754	
(181, 'SV Darmstadt 98', 2021): 0.576	0.423	0.245	0.808	0.570	0.416	0.258	0.816	0.633	0.430	0.333	0.894	0.652	0.458	0.228	0.918	0.567	0.429	0.218	0.924	0.596	0.392	0.321	0.747	0.708	0.079	0.676	0.746	
(177, 'SSV Jahn Regensburg', 2021): 0.565	0.338	0.290	0.702	0.568	0.367	0.262	0.720	0.679	0.246	0.471	0.829	0.629	0.395	0.249	0.852	0.558	0.366	0.228	0.755	0.596	0.328	0.338	0.721	0.697	0.040	0.677	0.715	
