player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
75157,2025-03-01,Abdoulaye Keita -, Abdoulaye Keita Keita,"Abdoulaye Keita (born 1 September 2002) is a Spanish footballer who plays as a right midfield for Spanish club Getafe CF. In the game FC 25, his overall rating is 61.",https://cdn.sofifa.net/players/075/157/25_120.png,186,72,2002-09-01,"RM,LM,RW",61,73,€800K,€13K,Right,3 ,3 ,1 ,,Lean (185+),No,€1.8M,,1860,Getafe CF,53,La Liga,https://cdn.sofifa.net/meta/team/106/30.png,75,RES,36,2024-12-16,2025,,,,,,,,,60,65,49,57,55,63,65,67,51,62,69,71,58,45,59,68,56,45,55,59,49,25,58,60,54,55,25,27,25,10,15,15,11,12,
254002,2025-03-01,"Joseph Willis - FIFA 22 - Aug 18, 2022 | SoFIFA", Joseph Willis,"Joe Willis (Joseph Willis, born 3 October 2001) is a British footballer who plays as a center midfield for British club Walsall. In the game FIFA 22, his overall rating is 54.",https://cdn.sofifa.net/players/254/002/22_120.png,182,78,2001-10-03,CM,54,60,€160K,€1K,Right,3 ,2 ,1 ,Medium/Medium,Lean (170-185),No,€312K,,1803,Walsall,61,League Two,https://cdn.sofifa.net/meta/team/76/30.png,62,SUB,19,2019-07-01,2022,,,,,,,,,51,50,45,56,48,55,54,45,54,54,67,69,67,54,63,56,65,54,70,53,65,55,54,55,48,57,54,54,50,9,7,6,7,14,
272507,2025-03-01,Éanna Clancy -, Éanna Clancy,"Éanna Clancy (born 26 February 2004) is an Irish footballer who plays as a center back for Irish club UCD. In the game FC 24, his overall rating is 54.",https://cdn.sofifa.net/players/272/507/24_120.png,185,75,2004-02-26,CB,54,66,€240K,€500,Right,2 ,2 ,1 ,Medium/Medium,Lean (185+),No,€420K,,111132,UCD,65,Premier Division,https://cdn.sofifa.net/meta/team/1413/30.png,55,RCB,38,2023-07-06,2027,,,,,,,,,29,21,53,54,23,43,29,22,57,44,55,53,48,52,56,32,57,54,61,24,51,54,24,38,38,42,54,54,53,9,14,13,14,9,
279411,2025-03-01,Álvaro Segrado -, Álvaro Segrado,"Álvaro Segrado (born 29 February 1988) is a Uruguayan footballer who plays as a center back for Uruguayan club Peñarol. In the game FC 24, his overall rating is 71.",https://cdn.sofifa.net/players/279/411/24_120.png,194,92,1988-02-29,CB,71,71,€500K,€550,Right,2 ,2 ,1 ,Low/High,Normal (185+),No,€1.1M,"Aerial threat,Strength",101110,Peñarol,338,Primera División,https://cdn.sofifa.net/meta/team/3338/30.png,70,LCB,2,2024-02-22,2028,,,,,,,,,32,31,80,55,29,42,35,34,58,58,37,62,34,58,38,38,81,64,90,18,79,66,58,46,36,51,70,72,63,9,11,8,14,15,
265447,2025-03-01,Claudio Torrejón Tineo -, Claudio Torrejón Tineo,"Claudio Torrejón (Claudio Torrejón Tineo, born 14 May 1993) is an American soccer player who plays as a central defensive midfielder for Peruvian club Cienciano. In the game FC 24, his overall rating is 66.",https://cdn.sofifa.net/players/265/447/24_120.png,179,80,1993-05-14,"CDM,CB",66,66,€725K,€500,Right,3 ,2 ,1 ,Medium/High,Normal (170-185),No,€1.6M,,111011,Cienciano,2020,Liga 1,https://cdn.sofifa.net/meta/team/13264/30.png,67,SUB,14,2023-01-01,2024,,,,,,,,,55,45,67,66,55,60,57,60,62,65,53,62,58,60,66,59,70,71,72,48,62,65,55,61,63,60,67,63,60,9,13,10,6,15,"Intercept, Slide Tackle"
71401,2025-03-01,Justin Kumi -, Justin Kumi,"Justin Kumi (born 16 July 2004) is an Italian footballer who plays as a center midfield for Italian club Reggiana, on loan from Sassuolo. In the game FC 25, his overall rating is 64.",https://cdn.sofifa.net/players/071/401/25_120.png,180,70,2004-07-16,CM,64,78,€1.4M,€2K,Right,3 ,2 ,1 ,,Normal (170-185),No,,,110740,Reggiana,32,Serie B,https://cdn.sofifa.net/meta/team/2892/30.png,67,RES,55,,"Jun 30, 2025",,,,,,,,,59,48,54,72,51,66,56,53,68,68,61,62,63,60,68,69,52,68,49,66,50,43,52,64,61,59,50,60,58,7,12,9,11,11,
274104,2025-03-01,Krisztián Hegyi -, Krisztián Hegyi,"Krisztián Hegyi (born 24 September 2002) is a Hungarian footballer who plays as a goalkeeper for Scottish club Motherwell FC, on loan from West Ham United. In the game FC 25, his overall rating is 55.",https://cdn.sofifa.net/players/274/104/25_120.png,193,85,2002-09-24,GK,55,67,€275K,€14K,Right,2 ,1 ,1 ,,Normal (185+),No,,,83,Motherwell FC,50,Premiership,https://cdn.sofifa.net/meta/team/309/30.png,64,SUB,1,,"Jun 30, 2025",,,,,,,,,14,7,14,20,8,13,14,13,16,10,25,25,30,49,31,40,45,15,51,8,15,6,4,31,16,21,5,10,13,56,55,53,52,57,
243568,2025-03-01,Stephen Eze -, Stephen Eze,"Stephen Eze (born 8 March 1994) is a Nigerian footballer who plays as a center back for Indian club Jamshedpur FC. In the game FC 25, his overall rating is 71.",https://cdn.sofifa.net/players/243/568/25_120.png,198,96,1994-03-08,CB,71,71,€1.5M,€3K,Right,3 ,2 ,1 ,,Normal (185+),No,€2M,Strength,114168,Jamshedpur FC,2149,Super League,https://cdn.sofifa.net/meta/team/134418/30.png,58,CB,6,2024-07-23,2026,,,,,,,,,25,23,70,58,30,39,37,29,51,59,67,75,37,70,38,46,83,81,91,25,70,70,35,39,30,58,69,70,65,8,7,9,12,7,"Power Header, Leadership"
202678,2025-03-01,Joshua Robert Risdon -, Joshua Robert Risdon,"Josh Risdon (Joshua Robert Risdon, born 27 July 1992) is an Australian soccer player who plays as a right back for Australian club Perth Glory. In the game FC 25, his overall rating is 66.",https://cdn.sofifa.net/players/202/678/25_120.png,167,70,1992-07-27,RB,66,66,€625K,€5K,Right,3 ,3 ,1 ,,Normal (170-),No,€781K,,111399,Perth Glory,351,A-League Men,https://cdn.sofifa.net/meta/team/300/30.png,64,RB,19,2024-07-01,2026,,,,,,,,,57,48,52,61,30,61,54,48,58,60,68,74,60,54,84,50,71,82,79,51,71,63,52,57,43,58,59,67,66,6,8,7,15,8,"Relentless, Long Throw, Team Player, Injury Prone"
160195,2025-03-01,"Michael Lobaño - FIFA 23 - Apr 6, 2023 | SoFIFA", Michael Lobaño,"Michael Lobaño (born 29 February 2000) is an Ecuadorian footballer who plays as a striker for Ecuadorian club Mushuc Runa. In the game FIFA 23, his overall rating is 66.",https://cdn.sofifa.net/players/160/195/23_120.png,181,78,2000-02-29,ST,66,66,€1M,€500,Left,3 ,3 ,1 ,Medium/Medium,Normal (170-185),No,€2.2M,,114615,Mushuc Runa,2018,Serie A,https://cdn.sofifa.net/meta/team/9868/30.png,64,ST,14,2023-01-11,2027,,,,,,,,,50,64,62,66,69,66,60,55,61,69,74,76,69,58,59,72,73,76,75,66,47,30,63,51,75,60,29,26,24,12,12,12,14,12,
