player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
239085,2022-05-01,"Erling Braut Håland - FIFA 22 - Apr 26, 2022 | SoFIFA",Erling Braut Håland,"Erling Haaland (Erling Braut Håland, born 21 July 2000) is a Norwegian footballer who plays as a striker for German club Borussia Dortmund, and the Norway national team. In the game FIFA 22, his overall rating is 88.",https://cdn.sofifa.net/players/239/085/22_120.png,194,94,2000-07-21,ST,88,94,€143.5M,€110K,Left,3 ,3 ,4 ,High/Medium,Unique,Yes,€272.7M,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",22,Borussia Dortmund,19,Bundesliga,https://cdn.sofifa.net/meta/team/68/30.png,81,ST,9,2020-01-01,2024,1352,Norway,78,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,76,ST,9,47,94,78,74,88,78,77,62,51,85,82,93,77,88,72,94,74,82,93,87,85,43,89,73,76,85,44,53,29,7,14,13,11,7,"Injury prone, Speed dribbler (AI), Power header"
231866,2022-05-01,"Rodri - FIFA 22 - Apr 26, 2022 | SoFIFA",Rodrigo Hernández Cascante,"Rodri (born 22 June 1996) is a Spanish footballer who plays as a central defensive midfielder for British club Manchester City, and the Spain national team. In the game FIFA 22, his overall rating is 87.",https://cdn.sofifa.net/players/231/866/22_120.png,191,82,1996-06-22,CDM,87,89,€90M,€190K,Right,4 ,3 ,3 ,Medium/High,Normal (185+),Yes,€173.3M,,10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,CDM,16,2019-07-04,2024,1362,Spain,78,Friendly International,https://cdn.sofifa.net/meta/team/18710/30.png,84,SUB,16,63,64,78,86,59,78,65,54,83,84,60,62,65,82,65,88,72,88,84,81,82,83,75,81,46,84,84,86,78,10,10,7,14,8,Solid player
231747,2022-05-01,"Kylian Mbappé Lottin - FIFA 22 - Apr 26, 2022 | SoFIFA",Kylian Mbappé Lottin,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for French club Paris Saint Germain, and the France national team. In the game FIFA 22, his overall rating is 91.",https://cdn.sofifa.net/players/231/747/22_120.png,182,73,1998-12-20,"ST,LW",91,95,€194M,€230K,Right,4 ,5 ,4 ,High/Low,Unique,Yes,€373.5M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",73,Paris Saint Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,85,ST,7,2018-07-01,2022,1335,France,78,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,85,LS,10,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6,"Solid player, Flair, Speed dribbler (AI), Outside foot shot, Technical dribbler (AI)"
252371,2022-05-01,"Jude Victor William Bellingham - FIFA 22 - Apr 26, 2022 | SoFIFA",Jude Victor William Bellingham,"Jude Bellingham (Jude Victor William Bellingham, born 29 June 2003) is a British footballer who plays as a center midfield for German club Borussia Dortmund, and the England national team. In the game FIFA 22, his overall rating is 82.",https://cdn.sofifa.net/players/252/371/22_120.png,186,75,2003-06-29,"CM,LM",82,90,€64M,€25K,Right,4 ,4 ,2 ,High/High,Lean (185+),Yes,€121.6M,Engine,22,Borussia Dortmund,19,Bundesliga,https://cdn.sofifa.net/meta/team/68/30.png,81,LDM,22,2020-07-23,2025,1318,England,78,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,83,SUB,21,64,73,64,83,67,84,63,47,79,83,78,73,81,84,79,77,76,88,73,74,84,79,76,83,56,77,79,78,79,14,11,10,5,8,"Dives into tackles (AI), Technical dribbler (AI)"
238794,2022-05-01,"Vinícius Jr. - FIFA 22 - Apr 26, 2022 | SoFIFA",Vinicius José Paixão de Oliveira Junior,"Vinícius Jr. (Vinicius José Paixão de Oliveira Junior, born 12 July 2000) is a Brazilian footballer who plays as a left winger for Spanish club Real Madrid. In the game FIFA 22, his overall rating is 84.",https://cdn.sofifa.net/players/238/794/22_120.png,176,73,2000-07-12,LW,84,91,€83.5M,€165K,Right,4 ,5 ,2 ,High/Medium,Lean (170-185),Yes,€187.9M,"Speedster,Dribbler,Acrobat",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,84,LW,20,2018-07-12,2025,,,,,,,,,71,82,50,75,72,92,77,62,71,88,95,95,94,81,81,76,75,84,62,72,58,26,80,75,65,79,32,25,18,5,7,7,7,10,"Flair, Speed dribbler (AI), Outside foot shot, Technical dribbler (AI)"
202126,2022-05-01,"Harry Edward Kane - FIFA 22 - Apr 26, 2022 | SoFIFA",Harry Edward Kane,"Harry Kane (Harry Edward Kane, born 28 July 1993) is a British footballer who plays as a striker for British club Tottenham Hotspur, and the England national team. In the game FIFA 22, his overall rating is 89.",https://cdn.sofifa.net/players/202/126/22_120.png,188,89,1993-07-28,ST,89,89,€112M,€230K,Right,5 ,3 ,4 ,High/High,Unique,Yes,€212.8M,"Distance shooter,Clinical finisher",18,Tottenham Hotspur,13,Premier League,https://cdn.sofifa.net/meta/team/6/30.png,81,ST,10,2010-07-28,2024,1318,England,78,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,83,ST,9,80,94,85,84,87,83,82,65,85,85,65,69,68,92,71,92,79,81,84,85,80,44,94,87,92,92,50,36,38,8,10,11,14,11,"Leadership, Long passer (AI), Long shot taker (AI), Playmaker (AI), Outside foot shot"
192985,2022-05-01,"Kevin De Bruyne - FIFA 22 - Apr 26, 2022 | SoFIFA",Kevin De Bruyne,"Kevin De Bruyne (born 28 June 1991) is a Belgian footballer who plays as a center midfield for British club Manchester City, and the Belgium national team. In the game FIFA 22, his overall rating is 91.",https://cdn.sofifa.net/players/192/985/22_120.png,181,70,1991-06-28,"CM,CAM",91,91,€125.5M,€350K,Right,5 ,4 ,4 ,High/High,Unique,Yes,€232.2M,"Dribbler,Playmaker,Engine,Distance shooter,Crosser,Complete midfielder",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,RCM,17,2015-08-30,2025,1325,Belgium,78,Friendly International,https://cdn.sofifa.net/meta/team/18743/30.png,83,RM,7,94,81,55,93,83,88,85,83,93,90,76,76,79,91,78,92,63,88,74,91,75,66,88,94,83,89,68,65,53,15,13,5,10,13,"Injury prone, Leadership, Early crosser, Long passer (AI), Long shot taker (AI), Playmaker (AI), Outside foot shot"
231478,2022-05-01,"Lautaro Javier Martínez - FIFA 22 - Apr 26, 2022 | SoFIFA",Lautaro Javier Martínez,"Lautaro Martínez (Lautaro Javier Martínez, born 22 August 1997) is an Argentine footballer who plays as a striker for Italian club Inter, and the Argentina national team. In the game FIFA 22, his overall rating is 84.",https://cdn.sofifa.net/players/231/478/22_120.png,174,72,1997-08-22,ST,84,88,€61M,€130K,Right,4 ,4 ,3 ,High/Medium,Unique,Yes,€108.3M,Acrobat,44,Inter,31,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,82,LS,10,2018-07-05,2026,1369,Argentina,78,Friendly International,https://cdn.sofifa.net/meta/team/18644/30.png,83,ST,22,56,85,84,76,88,83,78,43,73,85,86,80,86,88,89,80,88,80,84,74,86,45,84,80,74,83,55,31,44,11,8,8,8,13,"Flair, Technical dribbler (AI)"
230621,2022-05-01,"Gianluigi Donnarumma - FIFA 22 - Apr 26, 2022 | SoFIFA",Gianluigi Donnarumma,"Gianluigi Donnarumma (born 25 February 1999) is an Italian footballer who plays as a goalkeeper for French club Paris Saint Germain, and the Italy national team. In the game FIFA 22, his overall rating is 88.",https://cdn.sofifa.net/players/230/621/22_120.png,196,90,1999-02-25,GK,88,92,€106M,€110K,Right,3 ,1 ,3 ,Medium/Medium,Unique,Yes,€204.1M,,73,Paris Saint Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,85,GK,50,2021-07-15,2026,1343,Italy,78,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,83,GK,21,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,65,20,14,16,90,83,79,85,89,"Rushes out of goal, Comes for crosses"
222665,2022-05-01,"Martin Ødegaard - FIFA 22 - Apr 26, 2022 | SoFIFA",Martin Ødegaard,"Martin Ødegaard (born 17 December 1998) is a Norwegian footballer who plays as a central attacking midfielder for British club Arsenal, and the Norway national team. In the game FIFA 22, his overall rating is 83.",https://cdn.sofifa.net/players/222/665/22_120.png,178,68,1998-12-17,"CAM,CM",83,89,€58.5M,€95K,Left,2 ,5 ,3 ,High/Medium,Lean (170-185),Yes,€122.9M,,1,Arsenal,13,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,80,CAM,8,2021-08-20,2026,1352,Norway,78,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,76,RCM,10,84,75,52,84,76,85,83,85,81,85,80,75,85,74,83,76,46,79,56,77,63,65,79,86,63,78,65,49,51,14,15,15,8,10,"Solid player, Flair, Playmaker (AI), Outside foot shot, Technical dribbler (AI)"
212831,2022-05-01,"Alisson - FIFA 22 - Apr 26, 2022 | SoFIFA",Alisson Ramsés Becker,"Alisson (Alisson Ramsés Becker, born 2 October 1992) is a Brazilian footballer who plays as a goalkeeper for British club Liverpool. In the game FIFA 22, his overall rating is 89.",https://cdn.sofifa.net/players/212/831/22_120.png,191,91,1992-10-02,GK,89,90,€82M,€190K,Right,3 ,1 ,3 ,Medium/Medium,Unique,Yes,€157.9M,,9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,85,GK,1,2018-07-19,2027,,,,,,,,,17,13,29,55,20,27,19,18,56,40,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,68,15,19,16,86,86,84,90,89,"GK Long throw, Rushes out of goal"
209331,2022-05-01,"Mohamed Salah Hamed Ghaly - FIFA 22 - Apr 26, 2022 | SoFIFA",Mohamed Salah Hamed Ghaly محمد صلاح,"Mohamed Salah (Mohamed Salah Hamed Ghaly, born 15 June 1992) is an Egyptian footballer who plays as a right winger for British club Liverpool. In the game FIFA 22, his overall rating is 91.",https://cdn.sofifa.net/players/209/331/22_120.png,175,71,1992-06-15,RW,91,91,€129M,€350K,Left,3 ,4 ,4 ,High/Medium,Unique,Yes,€238.7M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,85,RW,11,2017-07-01,2023,,,,,,,,,81,93,59,85,84,92,84,69,77,90,90,91,91,94,91,83,69,87,75,85,63,55,92,86,86,92,38,43,41,14,14,9,11,14,"Finesse shot, Long shot taker (AI), Speed dribbler (AI), Outside foot shot, Chip shot (AI)"
203376,2022-05-01,"Virgil van Dijk - FIFA 22 - Apr 26, 2022 | SoFIFA",Virgil van Dijk,"Virgil van Dijk (born 8 July 1991) is a Dutch footballer who plays as a center back for British club Liverpool, and the Netherlands national team. In the game FIFA 22, his overall rating is 90.",https://cdn.sofifa.net/players/203/376/22_120.png,193,92,1991-07-08,CB,90,90,€100M,€240K,Right,3 ,2 ,4 ,Medium/Medium,Unique,Yes,€185M,"Tackling,Tactician,Strength,Complete defender",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,85,LCB,4,2018-01-01,2025,105035,Netherlands,78,Friendly International,https://cdn.sofifa.net/meta/team/18694/30.png,82,CB,4,53,52,87,79,45,70,60,70,86,76,70,90,61,89,53,81,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,"Leadership, Long passer (AI), Power header"
192448,2022-05-01,"Marc-André ter Stegen - FIFA 22 - Apr 26, 2022 | SoFIFA",Marc-André ter Stegen,"Marc-André ter Stegen (born 30 April 1992) is a German footballer who plays as a goalkeeper for Spanish club FC Barcelona, and the Germany national team. In the game FIFA 22, his overall rating is 88.",https://cdn.sofifa.net/players/192/448/22_120.png,187,85,1992-04-30,GK,88,90,€75.5M,€230K,Right,4 ,1 ,4 ,Medium/Medium,Unique,Yes,€160.4M,,241,FC Barcelona,53,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,83,GK,1,2014-07-01,2025,1337,Germany,78,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,85,SUB,22,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,65,79,35,78,10,43,22,11,70,25,70,25,13,10,86,85,87,85,90,"Rushes out of goal, Comes for crosses, Saves with feet"
192119,2022-05-01,"Thibaut Nicolas Marc Courtois - FIFA 22 - Apr 26, 2022 | SoFIFA",Thibaut Nicolas Marc Courtois,"Thibaut Courtois (Thibaut Nicolas Marc Courtois, born 11 May 1992) is a Belgian footballer who plays as a goalkeeper for Spanish club Real Madrid, and the Belgium national team. In the game FIFA 22, his overall rating is 89.",https://cdn.sofifa.net/players/192/119/22_120.png,199,96,1992-05-11,GK,89,91,€85.5M,€250K,Left,3 ,1 ,4 ,Medium/Medium,Unique,Yes,€181.7M,,243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,84,GK,1,2018-08-09,2026,1325,Belgium,78,Friendly International,https://cdn.sofifa.net/meta/team/18743/30.png,83,GK,1,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,"GK Long throw, Comes for crosses"
256630,2022-05-01,"Florian Richard Wirtz - FIFA 22 - Apr 26, 2022 | SoFIFA",Florian Richard Wirtz,"Florian Wirtz (Florian Richard Wirtz, born 3 May 2003) is a German footballer who plays as a central attacking midfielder for German club Bayer 04 Leverkusen. In the game FIFA 22, his overall rating is 82.",https://cdn.sofifa.net/players/256/630/22_120.png,176,70,2003-05-03,"CAM,CM",82,90,€64M,€24K,Right,4 ,4 ,2 ,High/Medium,Normal (170-185),Yes,€121.6M,Dribbler,32,Bayer 04 Leverkusen,19,Bundesliga,https://cdn.sofifa.net/meta/team/3321/30.png,79,SUB,27,2020-01-31,2026,,,,,,,,,77,78,39,82,68,86,76,54,82,88,76,75,85,80,81,67,52,79,50,70,63,45,78,85,60,80,55,57,44,14,14,13,6,10,"Flair, Playmaker (AI), Outside foot shot, Chip shot (AI), Technical dribbler (AI)"
239818,2022-05-01,"Rúben Dias - FIFA 22 - Apr 26, 2022 | SoFIFA",Rúben dos Santos Gato Alves Dias,"Rúben Dias (Rúben dos Santos Gato Alves Dias, born 14 May 1997) is a Portuguese footballer who plays as a center back for British club Manchester City, and the Portugal national team. In the game FIFA 22, his overall rating is 88.",https://cdn.sofifa.net/players/239/818/22_120.png,187,82,1997-05-14,CB,88,91,€111.5M,€210K,Right,4 ,2 ,3 ,Medium/High,Normal (185+),Yes,€214.6M,Tackling,10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,RCB,3,2020-09-29,2027,1354,Portugal,78,Friendly International,https://cdn.sofifa.net/meta/team/18701/30.png,84,LCB,4,54,29,87,82,32,64,46,48,76,74,58,69,61,88,56,74,78,87,89,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,"Solid player, Leadership, Power header"
